# Wordlist

# DATA
ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS	AUTOCOGID
4079	1.6 3.0 1.0 1.3 3.0 1.0	dásó	dásó	d a ⁵ s o ⁵ - - -	iron, steel, metal	2	d a ⁵ s o ⁵	dásó	0	1 7 8 3 7 8	3747	AXTBYT	2.T.C 2.A.V 2.6.T 2.S.C 2.U.V 2.6.T	mâchoire	798	Bambara	TA6SU6	JAW		3600
4080	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.3 3.0 1.0	kà-pèŋgùró	kà-pèŋgùró	k a ¹ - - - - ( + p e ¹ ŋ ɡ u ¹ r o ⁵ )	jaw (lower)	35	k a ¹ + p e ¹ ŋ ɡ u ¹ r o ⁵	kà-pèŋgùró	0	1 7 8 9 1 7 8 4 1 7 8 5 7 8	8539	AXT_AXTMBYTBYT	35.K.C 35.A.V 35.6.T 35._._ 35.P.C 35.E.V 35.6.T 35.N.c 35.K.C 35.Y.V 35.6.T 35.R.C 35.U.V 35.6.T	mâchoire (inférieure)	798	Toro_Tegu	KA6_PE6NKY6RU6	JAW		3621
4081	3.0 1.0 1.1 1.3 3.0 1.0	áŋgí	áŋgí	( - - - - ) - a ⁵ ŋ ɡ i ⁵ ( - ) - - -	jaw (lower)	5	a ⁵ ŋ ɡ i ⁵	áŋgí	0	7 8 4 1 7 8	3757	XTMBYT	5.A.V 5.6.T 5.N.c 5.K.C 5.I.V 5.6.T	mâchoire (inférieure)	798	Ben_Tey	A6NKI6	JAW		3603
4082	3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.1 0.5	àndì:_cìrⁿěyⁿ	àndì: cìrⁿěyⁿ, àndî:	( - - - - ) - a ¹⁵ ŋ - - - ( - ) - - -	jaw (lower)	4	a ¹ n d iː ¹ _ tʃ i ¹ r̃ ∼ e ¹⁵ j ∼	àndì:_cìrⁿěyⁿ	0	7 8 4 1 7 8 9 1 7 8 5 4 7 8 6 4	3757	XTMBYT_AXTMBYTLN	4.A.V 4.6.T 4.N.c 4.T.C 4.I.V 4.6.T 4._._ 4.T.C 4.I.V 4.6.T 4.R.c 4.9.C 4.E.V 4.2.T 4.J.c 4.9.c	mâchoire (inférieure)	798	Bankan_Tey	A6NTI6_TI6R9E2J9	JAW		3602
4083	3.0 1.0 0.5	ǎŋ	ǎŋ, àŋí, àŋ-dògí, àŋ-gòndí	( - - - - ) - a ¹⁵ ŋ - - - ( - ) - - -	jaw (lower)	24	a ¹⁵ ŋ	ǎŋ	0	7 8 4	3757	XTN	24.A.V 24.2.T 24.N.c	mâchoire (inférieure)	798	Nanga	A2N	JAW		3613
4084	3.0 1.0 1.3 3.0 1.0	áŋú	áŋú	( - - - - ) - a ⁵ ŋ - u ⁵ ( - ) - - -	jaw (lower)	26	a ⁵ ŋ u ⁵	áŋú	0	7 8 4 7 8	3757	XTBYT	26.A.V 26.6.T 26.N.C 26.Y.V 26.6.T	mâchoire (inférieure)	798	Perge_Tegu	A6NY6	JAW		3604
4085	3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	ɛ̀wⁿɛ̀_kɛ̀nɛ́	ɛ̀wⁿɛ̀ kɛ̀nɛ́	- ɛ ¹ w̃ ∼ ɛ ¹ ( _ k ɛ ¹ n ɛ ⁵ - - - - )	jaw (lower)	19	ɛ ¹ w̃ ∼ ɛ ¹ _ k ɛ ¹ n ɛ ⁵	ɛ̀wⁿɛ̀_kɛ̀nɛ́	0	7 8 6 4 7 8 9 1 7 8 4 7 8	8539	XTMBYT_AXTBYT	19.E.V 19.6.T 19.W.c 19.9.C 19.E.V 19.6.T 19._._ 19.K.C 19.E.V 19.6.T 19.N.C 19.E.V 19.6.T	mâchoire (inférieure)	798	Gourou	E6W9E6_KE6NE6	JAW		3608
4086	3.0 1.0 1.1 1.3 3.0 1.0	ɛ̀wⁿɛ́	ɛ̀wⁿɛ́	- ɛ ¹ w̃ ∼ ɛ ⁵ ( - - - - - - - - - - - )	jaw (lower)	32	ɛ ¹ w̃ ∼ ɛ ⁵	ɛ̀wⁿɛ́	0	7 8 6 4 7 8	8539	XTMBYT	32.E.V 32.6.T 32.W.c 32.9.C 32.E.V 32.6.T	mâchoire (inférieure)	798	Togo_Kan	E6W9E6	JAW		3608
4087	3.0 1.0 1.1 1.3 3.0 1.1 1.0	àŋgǎ:ⁿ	àŋgǎ:ⁿ	( - - - - ) - a ¹ ŋ ɡ ãː ¹⁵ ( - ) ∼ - -	jaw (lower)	37	a ¹ ŋ ɡ ãː ∼ ¹⁵	àŋgǎ:ⁿ	0	7 8 4 1 7 4 8	3757	XTMBYLT	37.A.V 37.6.T 37.N.c 37.K.C 37.A.V 37.9.c 37.2.T	mâchoire (inférieure)	798	Yorno_So	A6NKA92	JAW		3603
4088	3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	àŋgàà_dúú	àŋgàà dúú	( - - - - ) - a ¹ ŋ ɡ aː ¹ ( + ) d uː ⁵	jaw (lower)	33	a ¹ ŋ ɡ aː ¹ _ d uː ⁵	àŋgàà_dúú	0	7 8 4 1 7 8 9 1 7 8	3757	XTMBYT_AXT	33.A.V 33.6.T 33.N.c 33.K.C 33.A.V 33.6.T 33._._ 33.T.C 33.Y.V 33.6.T	mâchoire (inférieure)	798	Tommo_So	A6NKA6_TY6	JAW		3603
4089	3.0 1.0 1.1 1.3 3.0 1.0	àŋgá:	àŋgá:	( - - - - ) - a ¹ ŋ ɡ aː ⁵ ( - ) - - -	jaw (lower)	16	a ¹ ŋ ɡ aː ⁵	àŋgá:	0	7 8 4 1 7 8	3757	XTMBYT	16.A.V 16.6.T 16.N.c 16.K.C 16.A.V 16.6.T	mâchoire (inférieure)	798	Dogul_Dom	A6NKA6	JAW		3603
4090	3.0 1.0 1.1 1.3 3.0 1.0	àŋgǎ:	àŋgǎ:	( - - - - ) - a ¹ ŋ ɡ aː ¹⁵ ( - ) - - -	jaw (lower)	30	a ¹ ŋ ɡ aː ¹⁵	àŋgǎ:	0	7 8 4 1 7 8	3757	XTMBYT	30.A.V 30.6.T 30.N.c 30.K.C 30.A.V 30.2.T	mâchoire (inférieure)	798	Tebul_Ure	A6NKA2	JAW		3603
4091	3.0 1.0 1.1 1.3 3.0 1.0	àŋgà	àŋgà	( - - - - ) - a ¹ ŋ ɡ a ¹ ( - ) - - -	jaw (lower)	36	a ¹ ŋ ɡ a ¹	àŋgà	0	7 8 4 1 7 8	3757	XTMBYT	36.A.V 36.6.T 36.N.c 36.K.C 36.A.V 36.6.T	mâchoire (inférieure)	798	Yanda_Dom	A6NKA6	JAW		3603
4092	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	jàjàgâ:	jàjàgâ:	( dʒ a ¹ + ) dʒ a ¹ - ɡ aː ⁵¹ ( - ) - - -	jaw (lower)	23	dʒ a ¹ dʒ a ¹ ɡ aː ⁵¹	jàjàgâ:	0	1 7 8 1 7 8 1 7 8	3757	AXTBYTBYT	23.T.C 23.A.V 23.6.T 23.T.C 23.A.V 23.6.T 23.K.C 23.A.V 23.3.T	mâchoire (inférieure)	798	Najamba	TA6TA6KA3	JAW		3612
4093	1.6 3.0 1.0 1.3 3.0 1.0	ŋá:ŋà:	ŋá:-ŋà:	( - - - - ) ŋ aː ⁵ ŋ - aː ¹ ( - ) - - -	jaw (lower)	15	ŋ aː ⁵ ŋ aː ¹	ŋá:ŋà:	0	4 7 8 4 7 8	3757	AXTBYT	15.N.C 15.A.V 15.6.T 15.N.C 15.A.V 15.6.T	mâchoire (inférieure)	798	Bunoge	NA6NA6	JAW		3604
4094	3.0 1.0 1.3 3.0 1.0	áŋà	áŋà	( - - - - ) - a ⁵ ŋ - a ¹ ( - ) - - -	jaw (lower)	17	a ⁵ ŋ a ¹	áŋà	0	7 8 4 7 8	3757	XTBYT	17.A.V 17.6.T 17.N.C 17.A.V 17.6.T	mâchoire (inférieure)	798	Donno_So	A6NA6	JAW		3604
4095	1.6 3.0 1.0 1.3 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	yàmàndù-cìlɛ̀	yàmàndù-cìlɛ̀	j a ¹ m a ¹ n d u ¹ + tʃ i ¹ l - ɛ ¹ - -	jaw (lower)	34	j a ¹ m a ¹ n d u ¹ + tʃ i ¹ l ɛ ¹	yàmàndù-cìlɛ̀	0	6 7 8 4 7 8 4 1 7 8 9 1 7 8 5 7 8	3767	AXTBYTMBYT_AXTBYT	34.J.C 34.A.V 34.6.T 34.M.C 34.A.V 34.6.T 34.N.c 34.T.C 34.Y.V 34.6.T 34._._ 34.T.C 34.I.V 34.6.T 34.L.C 34.E.V 34.6.T	mâchoire (inférieure)	798	Tomo_Kan	JA6MA6NTY6_TI6LE6	JAW		3620
4096	3.0 1.0 1.3 3.0 1.0	áná	áná	( - - - - ) - a ⁵ n - a ⁵ ( - ) - - -	jaw (lower)	31	a ⁵ n a ⁵	áná	0	7 8 4 7 8	3757	XTBYT	31.A.V 31.6.T 31.N.C 31.A.V 31.6.T	mâchoire (inférieure)	798	Tiranige_Diga	A6NA6	JAW		3604
4097	3.0 1.0 1.1 1.3 3.0 1.0	áwⁿà	áwⁿà // àwⁿà gá:wⁿè:	- a ⁵ w̃ ∼ a ¹ ( - - - - - - - - - - - )	jaw (lower)	22	a ⁵ w̃ ∼ a ¹	áwⁿà	0	7 8 6 4 7 8	8539	XTMBYT	22.A.V 22.6.T 22.W.c 22.9.C 22.A.V 22.6.T	mâchoire (inférieure)	798	Mombo	A6W9A6	JAW		3601
4098	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ágálá	ágálá (y-)	( - - - - ) - a ⁵ - ɡ a ⁵ ( + ) l a ⁵	jaw (lower)	25	a ⁵ ɡ a ⁵ l a ⁵	ágálá	0	7 8 1 7 8 5 7 8	3757	XTBYTBYT	25.A.V 25.6.T 25.K.C 25.A.V 25.6.T 25.L.C 25.A.V 25.6.T	mâchoire (inférieure)	798	Penange	A6KA6LA6	JAW		3614
4099	3.0 1.0 1.1 1.3 3.0 1.0	ɛ̀wⁿɛ́	ɛ̀wⁿɛ́	- ɛ ¹ w̃ ∼ ɛ ⁵ ( - - - - - - - - - - - )	jaw (lower)	20	ɛ ¹ w̃ ∼ ɛ ⁵	ɛ̀wⁿɛ́	0	7 8 6 4 7 8	8539	XTMBYT	20.E.V 20.6.T 20.W.c 20.9.C 20.E.V 20.6.T	mâchoire (inférieure)	798	Jamsay	E6W9E6	JAW		3608
4100	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kāwⁿɔ̀	kāwⁿɔ̀	k a ³ w̃ ∼ ɔ ¹ ( - - - - - - - - - - - )	lower jaw	3	k a ³ w̃ ∼ ɔ ¹	kāwⁿɔ̀	0	1 7 8 6 4 7 8	8539	AXTMBYT	3.K.C 3.A.V 3.6.T 3.W.c 3.9.C 3.U.V 3.6.T	mâchoire inférieure	798	Bangime	KA6W9U6	JAW	Mombo	3601
4101	2.0 1.5 1.75 1.3 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.3 0.8	balaken-kewal	balakenkewal	b a l a k e n + k e w a l	lower jaw	18	b a l a k e n + k e w a l	balaken-kewal	0	1 7 5 7 1 7 4 9 1 7 6 7 5	3754	AXBYBYN_AXBYN	18.P.C 18.A.V 18.L.C 18.A.V 18.K.C 18.E.V 18.N.c 18._._ 18.K.C 18.E.V 18.W.C 18.A.V 18.L.c	mâchoire inférieure	798	Fulfulde	PALAKEN_KEWAL	JAW		3607
4102	1.6 3.0 1.0 1.1 1.3 3.0 1.0	dèŋgè	dèŋgè	( - - - - ) d e ¹ ŋ ɡ e ¹ ( - ) - - -	lower jaw	21	d e ¹ ŋ ɡ e ¹	dèŋgè	0	1 7 8 4 1 7 8	3757	AXTMBYT	21.T.C 21.E.V 21.6.T 21.N.c 21.K.C 21.E.V 21.6.T	mâchoire inférieure	798	Jenaama	TE6NKE6	JAW		3610
#
4103	1.6 3.0 1.0 0.5 0.0 3.0 1.0	dób-ó	dób-ó	d o ⁵ b ( + ) o ⁵	[n] joint	28	d o ⁵ b + o ⁵	dób-ó	0	1 7 8 1 9 7 8	3658	AXTN_XT	28.T.C 28.U.V 28.6.T 28.P.c 28._._ 28.U.V 28.6.T	articulation	999	Songhai_Senni	TU6P_U6	JOINT		3635
4104	1.6 3.0 1.0 1.3 3.0 1.0	dìgú	dìgú	( - - - - - - - ) d i ¹ ɡ u ⁵ ( - ) - - - -	joint	35	d i ¹ ɡ u ⁵	dìgú	0	1 7 8 1 7 8	3769	AXTBYT	35.T.C 35.I.V 35.6.T 35.K.C 35.Y.V 35.6.T	articulation	999	Toro_Tegu	TI6KY6	JOINT		3629
4105	1.6 3.0 1.0 1.3 3.0 1.0 0.5	díyáy	díyáy	( - - - - - - - ) d i ⁵ j a ⁵ ( + ) - j - -	joint	5	d i ⁵ j a ⁵ j	díyáy	0	1 7 8 6 7 8 6	3769	AXTBYTN	5.T.C 5.I.V 5.6.T 5.J.C 5.A.V 5.6.T 5.J.c	articulation	999	Ben_Tey	TI6JA6J	JOINT		3623
4106	1.6 3.0 1.0 1.3 3.0 1.0 0.5	dí:ráy	dí:ráy	( - - - - - - - ) d iː ⁵ r a ⁵ ( + ) - j - -	joint	4	d iː ⁵ r a ⁵ j	dí:ráy	0	1 7 8 5 7 8 6	3769	AXTBYTN	4.T.C 4.I.V 4.6.T 4.R.C 4.A.V 4.6.T 4.J.c	articulation	999	Bankan_Tey	TI6RA6J	JOINT		3623
4107	1.6 3.0 1.0 1.3 3.0 1.0	dígá	dígá	( - - - - - - - ) d i ⁵ ɡ a ⁵ ( - ) - - - -	joint	24	d i ⁵ ɡ a ⁵	dígá	0	1 7 8 1 7 8	3769	AXTBYT	24.T.C 24.I.V 24.6.T 24.K.C 24.A.V 24.6.T	articulation	999	Nanga	TI6KA6	JOINT		3629
4108	1.6 3.0 1.0 1.3 3.0 1.0	mùŋú	mùŋú	m u ¹ ŋ u ⁵	joint	32	m u ¹ ŋ u ⁵	mùŋú	0	4 7 8 4 7 8	3772	AXTBYT	32.M.C 32.Y.V 32.6.T 32.N.C 32.Y.V 32.6.T	articulation	999	Togo_Kan	MY6NY6	JOINT		3638
4109	1.6 3.0 1.0 1.3 3.0 1.0	pɛ́ŋɛ̀:	pɛ́ŋɛ̀:	p ɛ ⁵ ŋ ɛː ¹	joint	16	p ɛ ⁵ ŋ ɛː ¹	pɛ́ŋɛ̀:	0	1 7 8 4 7 8	3772	AXTBYT	16.P.C 16.E.V 16.6.T 16.N.C 16.E.V 16.6.T	articulation	999	Dogul_Dom	PE6NE6	JOINT		3625
4110	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	dígúgɔ́	dígúgɔ́ ~ díggɔ́	( - - - - - - - ) d i ⁵ ɡ u ⁵ ( + ) - ɡ ɔ ⁵	joint	30	d i ⁵ ɡ u ⁵ ɡ ɔ ⁵	dígúgɔ́	0	1 7 8 1 7 8 1 7 8	3769	AXTBYTBYT	30.T.C 30.I.V 30.6.T 30.K.C 30.Y.V 30.6.T 30.K.C 30.U.V 30.6.T	articulation	999	Tebul_Ure	TI6KY6KU6	JOINT		3629
4111	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	dìgù-dígù	dìgù-dígù	( d i ¹ ɡ u ¹ + ) d i ⁵ ɡ u ¹ ( - ) - - - -	joint	36	d i ¹ ɡ u ¹ + d i ⁵ ɡ u ¹	dìgù-dígù	0	1 7 8 1 7 8 9 1 7 8 1 7 8	3769	AXTBYT_AXTBYT	36.T.C 36.I.V 36.6.T 36.K.C 36.Y.V 36.6.T 36._._ 36.T.C 36.I.V 36.6.T 36.K.C 36.Y.V 36.6.T	articulation	999	Yanda_Dom	TI6KY6_TI6KY6	JOINT		3642
4112	1.6 3.0 1.0 1.3 3.0 1.0 0.5 0.0 1.6 3.0 1.0	dígìn-gè	dígìn-gè	( - - - - - - - ) d i ⁵ ɡ i ¹ ( + ) n ɡ e ¹	joint	23	d i ⁵ ɡ i ¹ n + ɡ e ¹	dígìn-gè	0	1 7 8 1 7 8 4 9 1 7 8	3769	AXTBYTN_AXT	23.T.C 23.I.V 23.6.T 23.K.C 23.I.V 23.6.T 23.N.c 23._._ 23.K.C 23.E.V 23.6.T	articulation	999	Najamba	TI6KI6N_KE6	JOINT		3630
4113	1.6 3.0 1.0	mù:	mù:	m uː ¹ - - -	joint	34	m uː ¹	mù:	0	4 7 8	3772	AXT	34.M.C 34.Y.V 34.6.T	articulation	999	Tomo_Kan	MY6	JOINT		3638
4114	1.6 3.0 1.0 1.3 3.0 1.0	dìgí	dìgí	( - - - - - - - ) d i ¹ ɡ i ⁵ ( - ) - - - -	joint	31	d i ¹ ɡ i ⁵	dìgí	0	1 7 8 1 7 8	3769	AXTBYT	31.T.C 31.I.V 31.6.T 31.K.C 31.I.V 31.6.T	articulation	999	Tiranige_Diga	TI6KI6	JOINT		3629
4115	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	dígélé	dígélé	( - - - - - - - ) d i ⁵ ɡ e ⁵ ( + ) - l e ⁵	joint	22	d i ⁵ ɡ e ⁵ l e ⁵	dígélé	0	1 7 8 1 7 8 5 7 8	3769	AXTBYTBYT	22.T.C 22.I.V 22.6.T 22.K.C 22.E.V 22.6.T 22.L.C 22.E.V 22.6.T	articulation	999	Mombo	TI6KE6LE6	JOINT		3629
4116	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	dìgìlɛ̀	dìgìlɛ̀	( - - - - - - - ) d i ¹ ɡ i ¹ ( + ) - l ɛ ¹	joint	25	d i ¹ ɡ i ¹ l ɛ ¹	dìgìlɛ̀	0	1 7 8 1 7 8 5 7 8	3769	AXTBYTBYT	25.T.C 25.I.V 25.6.T 25.K.C 25.I.V 25.6.T 25.L.C 25.E.V 25.6.T	articulation	999	Penange	TI6KI6LE6	JOINT		3629
4117	1.6 3.0 1.0 1.3 3.0 1.0	dìgú	dìgú	( - - - - - - - ) d i ¹ ɡ u ⁵ ( - ) - - - -	joint	20	d i ¹ ɡ u ⁵	dìgú	0	1 7 8 1 7 8	3769	AXTBYT	20.T.C 20.I.V 20.6.T 20.K.C 20.Y.V 20.6.T	articulation	999	Jamsay	TI6KY6	JOINT		3629
4118	1.6 3.0 1.0 1.3 3.0 1.0	dìgú	dìgú	( - - - - - - - ) d i ¹ ɡ u ⁵ ( - ) - - - -	joint	33	d i ¹ ɡ u ⁵	dìgú	0	1 7 8 1 7 8	3769	AXTBYT	33.T.C 33.I.V 33.6.T 33.K.C 33.Y.V 33.6.T	articulation	999	Tommo_So	TI6KY6	JOINT		3629
4119	1.6 3.0 1.0 1.3 3.0 1.0	dìgú	dìgú	( - - - - - - - ) d i ¹ ɡ u ⁵ ( - ) - - - -	joint	37	d i ¹ ɡ u ⁵	dìgú	0	1 7 8 1 7 8	3769	AXTBYT	37.T.C 37.I.V 37.6.T 37.K.C 37.Y.V 37.6.T	articulation	999	Yorno_So	TI6KY6	JOINT		3629
4120	1.6 3.0 1.0 1.3 3.0 1.0	dìgú	dìgú	( - - - - - - - ) d i ¹ ɡ u ⁵ ( - ) - - - -	joint	26	d i ¹ ɡ u ⁵	dìgú	0	1 7 8 1 7 8	3769	AXTBYT	26.T.C 26.I.V 26.6.T 26.K.C 26.Y.V 26.6.T	articulation	999	Perge_Tegu	TI6KY6	JOINT		3629
4121	1.6 3.0 1.0 1.3 3.0 1.0	dìgú	dìgú	( - - - - - - - ) d i ¹ ɡ u ⁵ ( - ) - - - -	joint	37	d i ¹ ɡ u ⁵	dìgú	1	1 7 8 1 7 8	3769	AXTBYT	37.T.C 37.I.V 37.6.T 37.K.C 37.Y.V 37.6.T	articulation	999	Yorno_So	TI6KY6	JOINT		3629
4122	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 0.8	palu-giʔel	palugiʔel	p a l u + ɡ i ʔ e l	joint (of bones)	18	p a l u + ɡ i ʔ e l	palu-giʔel	0	1 7 5 7 9 1 7 1 7 5	3773	AXBZ_AXBYN	18.P.C 18.A.V 18.L.C 18.Y.V 18._._ 18.K.C 18.I.V 18.H.C 18.E.V 18.L.c	articulation (des os)	999	Fulfulde	PALY_KIHEL	JOINT		3626
4123	1.6 3.0 1.0 1.3 3.0 1.0 1.1 0.5	wáɲɔ̄wⁿ	wáɲɔ̄wⁿ (1)	w a ⁵ ɲ ɔ ³ w̃ ∼	joint (of bones)	21	w a ⁵ ɲ ɔ ³ w̃ ∼	wáɲɔ̄wⁿ	0	6 7 8 4 7 8 6 4	3775	AXTBYTLN	21.W.C 21.A.V 21.6.T 21.N.C 21.U.V 21.6.T 21.W.c 21.9.c	articulation (des os)	999	Jenaama	WA6NU6W9	JOINT		3628
4124	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	dɔ̀kɛ́-rɛ́	dɔ̀kɛ́-rɛ́	( - - - - - - - ) d ɔ ¹ k ɛ ⁵ ( + ) - r ɛ ⁵	joint (of bones), node (of grass stem)	3	d ɔ ¹ k ɛ ⁵ + r ɛ ⁵	dɔ̀kɛ́-rɛ́	0	1 7 8 1 7 8 9 5 7 8	3769	AXTBYT_AXT	3.T.C 3.U.V 3.6.T 3.K.C 3.E.V 3.6.T 3._._ 3.R.C 3.E.V 3.6.T	articulation (des os), nœud (de tige de poacée)	999	Bangime	TU6KE6_RE6	JOINT		3622
9566	1.6 3.0 1.0 1.3 3.0 1.0	dó:bú	dó:bú 1a / -ó:	d oː ⁵ b ( - ) u ⁵	[n] joint	27	d oː ⁵ b u ⁵	dó:bú	0	1 7 8 1 7 8	3658	AXTBYT	27.T.C 27.U.V 27.6.T 27.P.C 27.Y.V 27.6.T	articulation	999	Songhai_Kiini	TU6PY6	JOINT		3634
#
4172	1.6 3.0 1.0 0.5	wɔ̌w	wɔ̌w	w ɔ ¹⁵ w	kill	35	w ɔ ¹⁵ w	wɔ̌w	0	6 7 8 6	218	AXTN	35.W.C 35.U.V 35.2.T 35.W.c	tuer	1417	Toro_Tegu	WU2W	KILL		3659
4173	1.6 3.0 1.0 1.3 3.0 1.0	jìyɛ́	jìyɛ́	dʒ i ¹ j ɛ ⁵	kill	5	dʒ i ¹ j ɛ ⁵	jìyɛ́	0	1 7 8 6 7 8	3837	AXTBYT	5.T.C 5.I.V 5.6.T 5.J.C 5.E.V 5.6.T	tuer	1417	Ben_Tey	TI6JE6	KILL		3646
4174	1.6 3.0 1.0	jɛ́	jɛ́	dʒ ɛ ⁵ - - -	kill	4	dʒ ɛ ⁵	jɛ́	0	1 7 8	3837	AXT	4.T.C 4.E.V 4.6.T	tuer	1417	Bankan_Tey	TE6	KILL		3645
4175	1.6 3.0 1.0 1.3 3.0 1.0	jìyɛ́	jìyɛ́, gìyɛ́	dʒ i ¹ j ɛ ⁵	kill	24	dʒ i ¹ j ɛ ⁵	jìyɛ́	0	1 7 8 6 7 8	3837	AXTBYT	24.T.C 24.I.V 24.6.T 24.J.C 24.E.V 24.6.T	tuer	1417	Nanga	TI6JE6	KILL		3646
4176	1.6 3.0 1.0 1.1 1.3 3.0 1.0	dàrⁿá	dàrⁿá	d a ¹ r̃ ∼ a ⁵	kill	32	d a ¹ r̃ ∼ a ⁵	dàrⁿá	0	1 7 8 5 4 7 8	8775	AXTMBYT	32.T.C 32.A.V 32.6.T 32.R.c 32.9.C 32.A.V 32.6.T	tuer	1417	Togo_Kan	TA6R9A6	KILL		3671
4177	1.6 3.0 1.0	dǎ:	dǎ:-	d aː ¹⁵ - - - -	kill	37	d aː ¹⁵	dǎ:	0	1 7 8	8775	AXT	37.T.C 37.A.V 37.2.T	tuer	1417	Yorno_So	TA2	KILL		3658
4178	1.6 3.0 1.0	dàá	dàá	d aː ¹⁵ - - - -	kill	33	d aː ¹⁵	dàá	0	1 7 8	8775	AXT	33.T.C 33.A.V 33.2.T	tuer	1417	Tommo_So	TA2	KILL		3658
4179	1.6 3.0 1.0 1.3 3.0 1.0	gɛ̀wɛ́	gɛ̀wɛ́	ɡ ɛ ¹ w ɛ ⁵	kill	16	ɡ ɛ ¹ w ɛ ⁵	gɛ̀wɛ́	0	1 7 8 6 7 8	3859	AXTBYT	16.K.C 16.E.V 16.6.T 16.W.C 16.E.V 16.6.T	tuer	1417	Dogul_Dom	KE6WE6	KILL		3656
4180	1.6 3.0 1.0	jɛ̌	jɛ̌	dʒ ɛ ¹⁵ - - -	kill	30	dʒ ɛ ¹⁵	jɛ̌	0	1 7 8	3837	AXT	30.T.C 30.E.V 30.2.T	tuer	1417	Tebul_Ure	TE2	KILL		3645
4181	1.6 3.0 1.0 1.3 3.0 1.0	gíyɔ̀	gíyɔ̀ (gìyɛ̀, gìyɛ́-rì)	ɡ i ⁵ j ɔ ¹	kill	1	ɡ i ⁵ j ɔ ¹	gíyɔ̀	0	1 7 8 6 7 8	3837	AXTBYT	1.K.C 1.I.V 1.6.T 1.J.C 1.U.V 1.6.T	tuer	1417	Ampari	KI6JU6	KILL		3643
4182	1.6 3.0 1.0 1.3 3.0 1.0	gɛ́:wɛ̀	gɛ́:wɛ̀ (imperative gèwà)	ɡ ɛː ⁵ w ɛ ¹	kill	15	ɡ ɛː ⁵ w ɛ ¹	gɛ́:wɛ̀	0	1 7 8 6 7 8	3859	AXTBYT	15.K.C 15.E.V 15.6.T 15.W.C 15.E.V 15.6.T	tuer	1417	Bunoge	KE6WE6	KILL		3656
4183	1.6 3.0 1.0	dǎ:	dǎ:	d aː ¹⁵ - - - -	kill	17	d aː ¹⁵	dǎ:	0	1 7 8	8775	AXT	17.T.C 17.A.V 17.2.T	tuer	1417	Donno_So	TA2	KILL		3658
4184	1.6 3.0 1.0 1.3 3.0 1.0	dɛ̀lɛ̀	dɛ̀lɛ̀	d ɛ ¹ l - ɛ ¹	kill	34	d ɛ ¹ l ɛ ¹	dɛ̀lɛ̀	0	1 7 8 5 7 8	8775	AXTBYT	34.T.C 34.E.V 34.6.T 34.L.C 34.E.V 34.6.T	tuer	1417	Tomo_Kan	TE6LE6	KILL		3673
4185	1.6 3.0 1.0 1.3 3.0 1.0	jɛ́yɔ́	jɛ́yɔ́	dʒ ɛ ⁵ j ɔ ⁵	kill	31	dʒ ɛ ⁵ j ɔ ⁵	jɛ́yɔ́	0	1 7 8 6 7 8	3837	AXTBYT	31.T.C 31.E.V 31.6.T 31.J.C 31.U.V 31.6.T	tuer	1417	Tiranige_Diga	TE6JU6	KILL		3646
4186	1.6 1.2 3.0 1.0	gyɛ́:	gyɛ́:	ɡ - - j ɛː ⁵	kill	22	ɡ j ɛː ⁵	gyɛ́:	0	1 6 7 8	3837	ACXT	22.K.C 22.J.C 22.E.V 22.6.T	tuer	1417	Mombo	KJE6	KILL		3643
4187	1.6 3.0 1.0 1.3 3.0 1.0	gíyɛ́	gíyɛ́	ɡ i ⁵ j ɛ ⁵	kill	25	ɡ i ⁵ j ɛ ⁵	gíyɛ́	0	1 7 8 6 7 8	3837	AXTBYT	25.K.C 25.I.V 25.6.T 25.J.C 25.E.V 25.6.T	tuer	1417	Penange	KI6JE6	KILL		3643
