ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS
5855	2.0 1.5 1.3 1.75 1.3 0.8	daawie	daawie	( d a: ) w i e	a) [intr] be open, wide	6	d a a w i e	daawie	0	1 7 7 6 7 7	5431	AXYBYZ	6.T.C 6.A.V 6.A.V 6.W.C 6.I.V 6.E.V	ouvrir	1156	Bozo_Debo	TAAWIE	OPEN	
5856	2.0 1.5 1.75 1.3 1.75 0.8	hɔlaje	hɔlaje	h ɔ l a dʒ e	a) [intr] be open, wide	7	h ɔ l a dʒ e	hɔlaje	0	3 7 5 7 1 7	5430	AXBYBZ	7.H.C 7.U.V 7.L.C 7.A.V 7.T.C 7.E.V	ouvrir	1156	Bozo_Hainyaxo	HULATE	OPEN	
5857	2.0 1.5 0.8	viɛ	viɛ	( - - ) v i ɛ	a) [intr] be open, wide	8	v i ɛ	viɛ	0	3 7 7	5431	AXZ	8.B.C 8.I.V 8.E.V	ouvrir	1156	Bozo_Korondougou_nord	BIE	OPEN	
5858	2.0 1.5 1.3 1.75 1.3 0.8	laagie	laagie	l a: ɡ i e	a) [intr] be open, wide	9	l a a ɡ i e	laagie	0	5 7 7 1 7 7	5432	AXYBYZ	9.L.C 9.A.V 9.A.V 9.K.C 9.I.V 9.E.V	ouvrir	1156	Bozo_Korondougou_sud	LAAKIE	OPEN	
5859	2.0 1.5 1.3 1.75 1.5 1.3 0.8	daagweⁿ	daagweⁿ	d a: ɡ w ẽ ∼	a) [intr] be open, wide	10	d a a ɡ w ẽ ∼	daagweⁿ	0	1 7 7 1 6 7 4	5433	AXYBCYN	10.T.C 10.A.V 10.A.V 10.K.C 10.W.C 10.E.V 10.9.c	ouvrir	1156	Bozo_Kotya	TAAKWE9	OPEN	
5860	2.0 1.5 1.3 1.75 0.8	lɔɔge	lɔɔge	l ɔ: ɡ !- e	a) [intr] be open, wide	11	l ɔ ɔ ɡ e	lɔɔge	0	5 7 7 1 7	5432	AXYBZ	11.L.C 11.U.V 11.U.V 11.K.C 11.E.V	ouvrir	1156	Bozo_Pondori_nord	LUUKE	OPEN	
5861	2.0 1.5 1.75 1.3 1.3 0.8	dɔviɛⁿ	dɔviɛⁿ	d ɔ v i ɛ̃ ∼	a) [intr] be open, wide	12	d ɔ v i ɛ̃ ∼	dɔviɛⁿ	0	1 7 3 7 7 4	5435	AXBYYN	12.T.C 12.U.V 12.B.C 12.I.V 12.E.V 12.9.c	ouvrir	1156	Bozo_Pondori_sud	TUBIE9	OPEN	
5862	2.0 1.5 1.3 1.75 1.5 1.3 0.8	laagweⁿ	laagweⁿ	l a: ɡ w ẽ ∼	a) [intr] be open, wide	14	l a a ɡ w ẽ ∼	laagweⁿ	0	5 7 7 1 6 7 4	5433	AXYBCYN	14.L.C 14.A.V 14.A.V 14.K.C 14.W.C 14.E.V 14.9.c	ouvrir	1156	Bozo_Tieyaxo	LAAKWE9	OPEN	
5863	2.0 1.5 1.3 1.75 1.3 0.8	laagie	laagie	l a: ɡ i e	a) [intr] be open, wide	13	l a a ɡ i e	laagie	0	5 7 7 1 7 7	5432	AXYBYZ	13.L.C 13.A.V 13.A.V 13.K.C 13.I.V 13.E.V	ouvrir	1156	Bozo_Tiema_Cewe	LAAKIE	OPEN	
5864	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	pí:rⁿí_gò-ndó	pí:rⁿí gò-ndó	p iː ⁵ r̃ ∼ i ⁵ _ ɡ o ¹ + n d o ⁵	open (a door)	4	p iː ⁵ r̃ ∼ i ⁵ _ ɡ o ¹ + n d o ⁵	pí:rⁿí_gò-ndó	0	1 7 8 5 4 7 8 9 1 7 8 9 4 1 7 8	5428	AXTMBYT_AXT_ACYT	4.P.C 4.I.V 4.6.T 4.R.c 4.9.C 4.I.V 4.6.T 4._._ 4.K.C 4.U.V 4.6.T 4._._ 4.N.C 4.T.C 4.U.V 4.6.T	ouvrir (porte)	1156	Bankan_Tey	PI6R9I6_KU6_NTU6	OPEN	
5865	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	dɛ́ŋú-lɛ̀	dɛ́ŋú-lɛ̀	d ɛ ⁵ ŋ u ⁵ + l ɛ ¹	open (a door)	15	d ɛ ⁵ ŋ u ⁵ + l ɛ ¹	dɛ́ŋú-lɛ̀	0	1 7 8 4 7 8 9 5 7 8	5438	AXTBYT_AXT	15.T.C 15.E.V 15.6.T 15.N.C 15.Y.V 15.6.T 15._._ 15.L.C 15.E.V 15.6.T	ouvrir (porte)	1156	Bunoge	TE6NY6_LE6	OPEN	
5866	3.0 1.0 0.5 0.0 1.6 3.0 1.0	í:l-lè	í:llè	!- iː ⁵ l + l e ¹	open (a door)	16	iː ⁵ l + l e ¹	í:l-lè	0	7 8 5 9 5 7 8	5439	XTN_AXT	16.I.V 16.6.T 16.L.c 16._._ 16.L.C 16.E.V 16.6.T	ouvrir (porte)	1156	Dogul_Dom	I6L_LE6	OPEN	
5867	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	píní-rⁿé	píní-rⁿé	p i ⁵ n i ⁵ + r̃ ∼ e ⁵	open (a door)	19	p i ⁵ n i ⁵ + r̃ ∼ e ⁵	píní-rⁿé	0	1 7 8 4 7 8 9 5 4 7 8	5442	AXTBYT_ACYT	19.P.C 19.I.V 19.6.T 19.N.C 19.I.V 19.6.T 19._._ 19.R.C 19.9.C 19.E.V 19.6.T	ouvrir (porte)	1156	Gourou	PI6NI6_R9E6	OPEN	
5868	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	níŋgí-lɛ́	níŋgí-lɛ́	n i ⁵ ŋ ɡ i ⁵ + l ɛ ⁵	open (a door)	23	n i ⁵ ŋ ɡ i ⁵ + l ɛ ⁵	níŋgí-lɛ́	0	4 7 8 4 1 7 8 9 5 7 8	5445	AXTMBYT_AXT	23.N.C 23.I.V 23.6.T 23.N.c 23.K.C 23.I.V 23.6.T 23._._ 23.L.C 23.E.V 23.6.T	ouvrir (porte)	1156	Najamba	NI6NKI6_LE6	OPEN	
5869	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6	píŋgí-l	píŋgí-l	p i ⁵ ŋ ɡ i ⁵ + l !- !-	open (a door)	30	p i ⁵ ŋ ɡ i ⁵ + l	píŋgí-l	0	1 7 8 4 1 7 8 9 5	5445	AXTMBYT_A	30.P.C 30.I.V 30.6.T 30.N.c 30.K.C 30.I.V 30.6.T 30._._ 30.L.C	ouvrir (porte)	1156	Tebul_Ure	PI6NKI6_L	OPEN	
5870	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	píl-lé	píl-lé	p i ⁵ l + l e ⁵	open (a door)	33	p i ⁵ l + l e ⁵	píl-lé	0	1 7 8 5 9 5 7 8	5439	AXTN_AXT	33.P.C 33.I.V 33.6.T 33.L.c 33._._ 33.L.C 33.E.V 33.6.T	ouvrir (porte)	1156	Tommo_So	PI6L_LE6	OPEN	
5871	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	pínɛ́-lɛ́	pínɛ́-lɛ́-	p i ⁵ n ɛ ⁵ + l - ɛ ⁵	open (a door)	37	p i ⁵ n ɛ ⁵ + l ɛ ⁵	pínɛ́-lɛ́	0	1 7 8 4 7 8 9 5 7 8	5442	AXTBYT_AXT	37.P.C 37.I.V 37.6.T 37.N.C 37.E.V 37.6.T 37._._ 37.L.C 37.E.V 37.6.T	ouvrir (porte)	1156	Yorno_So	PI6NE6_LE6	OPEN	
5872	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	píɲè-lè	píɲè-lè	p i ⁵ ɲ e ¹ + l - e ¹	open (a door)	17	p i ⁵ ɲ e ¹ + l e ¹	píɲè-lè	0	1 7 8 4 7 8 9 5 7 8	5442	AXTBYT_AXT	17.P.C 17.I.V 17.6.T 17.N.C 17.E.V 17.6.T 17._._ 17.L.C 17.E.V 17.6.T	ouvrir (porte)	1156	Donno_So	PI6NE6_LE6	OPEN	
5873	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	báŋgú-lè	báŋgú-lè	b a ⁵ ŋ ɡ u ⁵ + l e ¹	open (a door)	25	b a ⁵ ŋ ɡ u ⁵ + l e ¹	báŋgú-lè	0	1 7 8 4 1 7 8 9 5 7 8	5445	AXTMBYT_AXT	25.P.C 25.A.V 25.6.T 25.N.c 25.K.C 25.Y.V 25.6.T 25._._ 25.L.C 25.E.V 25.6.T	ouvrir (porte)	1156	Penange	PA6NKY6_LE6	OPEN	
5874	3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	ímbí-lɔ́	ímbí-lɔ́	i ⁵ m b i ⁵ + l ɔ ⁵	open (a door)	31	i ⁵ m b i ⁵ + l ɔ ⁵	ímbí-lɔ́	0	7 8 4 1 7 8 9 5 7 8	5452	XTMBYT_AXT	31.I.V 31.6.T 31.M.c 31.P.C 31.I.V 31.6.T 31._._ 31.L.C 31.U.V 31.6.T	ouvrir (porte)	1156	Tiranige_Diga	I6MPI6_LU6	OPEN	
5875	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	bá:ⁿ wúlè	bá:ⁿ wúlè	b ãː ⁵ ∼ w u ⁵ + l e ¹	open (a door)	22	b ãː ∼ ⁵ _ w u ⁵ l e ¹	bá:ⁿ wúlè	0	1 7 4 8 9 6 7 8 5 7 8	5445	AXLT_AXTBYT	22.P.C 22.A.V 22.9.c 22.6.T 22._._ 22.W.C 22.Y.V 22.6.T 22.L.C 22.E.V 22.6.T	ouvrir (porte)	1156	Mombo	PA96_WY6LE6	OPEN	
5876	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	pí:-rⁿí	pí:-rⁿí	p iː ⁵ - - - + r̃ ∼ i ⁵	open (a door)	24	p iː ⁵ + r̃ ∼ i ⁵	pí:-rⁿí	0	1 7 8 9 5 4 7 8	5442	AXT_ACYT	24.P.C 24.I.V 24.6.T 24._._ 24.R.C 24.9.C 24.I.V 24.6.T	ouvrir (porte)	1156	Nanga	PI6_R9I6	OPEN	
5877	1.6 3.0 1.0 0.0 1.6 3.0 1.0	lé:-ré	lé:-ré	l eː ⁵ + r e ⁵	open (a door)	26	l eː ⁵ + r e ⁵	lé:-ré	0	5 7 8 9 5 7 8	5449	AXT_AXT	26.L.C 26.E.V 26.6.T 26._._ 26.R.C 26.E.V 26.6.T	ouvrir (porte)	1156	Perge_Tegu	LE6_RE6	OPEN	
5878	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	pínì-rⁿì	pínì-rⁿì	p i ⁵ n i ¹ + r̃ ∼ i ¹	open (a door)	32	p i ⁵ n i ¹ + r̃ ∼ i ¹	pínì-rⁿì	0	1 7 8 4 7 8 9 5 4 7 8	5442	AXTBYT_ACYT	32.P.C 32.I.V 32.6.T 32.N.C 32.I.V 32.6.T 32._._ 32.R.C 32.9.C 32.I.V 32.6.T	ouvrir (porte)	1156	Togo_Kan	PI6NI6_R9I6	OPEN	
5879	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	tín-nú	tín-nú	t i ⁵ n + n u ⁵	open (a door)	35	t i ⁵ n + n u ⁵	tín-nú	0	1 7 8 4 9 4 7 8	5455	AXTN_AXT	35.T.C 35.I.V 35.6.T 35.N.c 35._._ 35.N.C 35.Y.V 35.6.T	ouvrir (porte)	1156	Toro_Tegu	TI6N_NY6	OPEN	
5880	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	píl-lé	píl-lé	p i ⁵ l + l e ⁵	open (a door)	36	p i ⁵ l + l e ⁵	píl-lé	0	1 7 8 5 9 5 7 8	5439	AXTN_AXT	36.P.C 36.I.V 36.6.T 36.L.c 36._._ 36.L.C 36.E.V 36.6.T	ouvrir (porte)	1156	Yanda_Dom	PI6L_LE6	OPEN	
5881	1.5 0.8 0.0 2.0 0.0 1.5 1.3 1.75 0.8	om-t-aade	omtaade	o m + t + a: d e	open (door)	18	o m + t + a a d e	om-t-aade	0	7 4 9 1 9 7 7 1 7	5441	XN_A_XYBZ	18.U.V 18.M.c 18._._ 18.T.C 18._._ 18.A.V 18.A.V 18.T.C 18.E.V	ouvrir (porte)	1156	Fulfulde	UM_T_AATE	OPEN	
5882	3.0 1.0 0.0 1.6 3.0 1.0	ā-ɥɛ̀	ā-ɥɛ̀	a ³ + ɥ ɛ ¹	open (door)	21	a ³ + ɥ ɛ ¹	ā-ɥɛ̀	0	7 8 9 6 7 8	5444	XT_AXT	21.A.V 21.6.T 21._._ 21.J.C 21.E.V 21.6.T	ouvrir (porte)	1156	Jenaama	A6_JE6	OPEN	
5883	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	píní-rⁿé	píní-rⁿé	p i ⁵ n i ⁵ + r̃ ∼ e ⁵	open (door)	20	p i ⁵ n i ⁵ + r̃ ∼ e ⁵	píní-rⁿé	0	1 7 8 4 7 8 9 5 4 7 8	5442	AXTBYT_ACYT	20.P.C 20.I.V 20.6.T 20.N.C 20.I.V 20.6.T 20._._ 20.R.C 20.9.C 20.E.V 20.6.T	ouvrir (porte)	1156	Jamsay	PI6NI6_R9E6	OPEN	
5884	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	àtí:mè	àtí:mè, àtî:ní:	- - - - - !- a ¹ t iː ⁵ ( - ) m e ¹	orphan	35	a ¹ t iː ⁵ m e ¹	àtí:mè	0	7 8 1 7 8 4 7 8	5481	XTBYTBYT	35.A.V 35.6.T 35.T.C 35.I.V 35.6.T 35.M.C 35.E.V 35.6.T	orphelin	1149	Toro_Tegu	A6TI6ME6	ORPHAN	BAM
5885	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6	là:wà-gú-m	là:wà-gú-m	l aː ¹ w a ¹ + ɡ u ⁵ + m ( - - )	orphan	5	l aː ¹ w a ¹ + ɡ u ⁵ + m	là:wà-gú-m	0	5 7 8 6 7 8 9 1 7 8 9 4	5459	AXTBYT_AXT_A	5.L.C 5.A.V 5.6.T 5.W.C 5.A.V 5.6.T 5._._ 5.K.C 5.Y.V 5.6.T 5._._ 5.M.C	orphelin	1149	Ben_Tey	LA6WA6_KY6_M	ORPHAN	
5886	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6	nàrⁿìyⁿɛ̂-m	nàrⁿìyⁿɛ̂-m	n a ¹ r̃ ∼ i ¹ j ∼ ɛ ¹⁵ + m	orphan	4	n a ¹ r̃ ∼ i ¹ j ∼ ɛ ¹⁵ + m	nàrⁿìyⁿɛ̂-m	0	4 7 8 5 4 7 8 6 4 7 8 9 4	5458	AXTMBYTMBYT_A	4.N.C 4.A.V 4.6.T 4.R.c 4.9.C 4.I.V 4.6.T 4.J.c 4.9.C 4.E.V 4.2.T 4._._ 4.M.C	orphelin	1149	Bankan_Tey	NA6R9I6J9E2_M	ORPHAN	
5887	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.1 1.3 3.0 1.0	nàrⁿìyⁿɛ́	nàrⁿìyⁿɛ́	n a ¹ r̃ ∼ i ¹ j ∼ ɛ ⁵ - -	orphan	24	n a ¹ r̃ ∼ i ¹ j ∼ ɛ ⁵	nàrⁿìyⁿɛ́	0	4 7 8 5 4 7 8 6 4 7 8	5458	AXTMBYTMBYT	24.N.C 24.A.V 24.6.T 24.R.c 24.9.C 24.I.V 24.6.T 24.J.c 24.9.C 24.E.V 24.6.T	orphelin	1149	Nanga	NA6R9I6J9E6	ORPHAN	
5888	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	là:wà-gú-nú	là:wà-gú-nú	l aː ¹ w a ¹ + ɡ u ⁵ + n ( u ⁵ )	orphan	26	l aː ¹ w a ¹ + ɡ u ⁵ + n u ⁵	là:wà-gú-nú	0	5 7 8 6 7 8 9 1 7 8 9 4 7 8	5459	AXTBYT_AXT_AXT	26.L.C 26.A.V 26.6.T 26.W.C 26.A.V 26.6.T 26._._ 26.K.C 26.Y.V 26.6.T 26._._ 26.N.C 26.Y.V 26.6.T	orphelin	1149	Perge_Tegu	LA6WA6_KY6_NY6	ORPHAN	
5889	1.6 3.0 1.0 1.3 3.0 1.0	tɔ̀ɲú	tɔ̀ɲú	( - - - - - ) t ɔ ¹ ɲ ( - ) u ( - ) ⁵	orphan	32	t ɔ ¹ ɲ u ⁵	tɔ̀ɲú	0	1 7 8 4 7 8	5475	AXTBYT	32.T.C 32.U.V 32.6.T 32.N.C 32.Y.V 32.6.T	orphelin	1149	Togo_Kan	TU6NY6	ORPHAN	
5890	3.0 1.0 1.3 3.0 1.0	àbɛ̌:	àbɛ̌:	a ¹ b ɛː ¹⁵	orphan	37	a ¹ b ɛː ¹⁵	àbɛ̌:	0	7 8 1 7 8	5472	XTBYT	37.A.V 37.6.T 37.P.C 37.E.V 37.2.T	orphelin	1149	Yorno_So	A6PE2	ORPHAN	
5891	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	àbìyɛ̀-nɛ́	àbìyɛ̀-nɛ́	a ¹ b i ¹ j ɛ ¹ + n ɛ ⁵	orphan	33	a ¹ b i ¹ j ɛ ¹ + n ɛ ⁵	àbìyɛ̀-nɛ́	0	7 8 1 7 8 6 7 8 9 4 7 8	5461	XTBYTBYT_AXT	33.A.V 33.6.T 33.P.C 33.I.V 33.6.T 33.J.C 33.E.V 33.6.T 33._._ 33.N.C 33.E.V 33.6.T	orphelin	1149	Tommo_So	A6PI6JE6_NE6	ORPHAN	
5892	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	àbìyɛ́	àbìyɛ́	a ¹ b i ¹ j ɛ ⁵ - - - -	orphan	16	a ¹ b i ¹ j ɛ ⁵	àbìyɛ́	0	7 8 1 7 8 6 7 8	5461	XTBYTBYT	16.A.V 16.6.T 16.P.C 16.I.V 16.6.T 16.J.C 16.E.V 16.6.T	orphelin	1149	Dogul_Dom	A6PI6JE6	ORPHAN	
5893	3.0 1.0 1.3 3.0 1.0	àbɛ́	àbɛ́	a ¹ b ɛ ⁵	orphan	30	a ¹ b ɛ ⁵	àbɛ́	0	7 8 1 7 8	5472	XTBYT	30.A.V 30.6.T 30.P.C 30.E.V 30.6.T	orphelin	1149	Tebul_Ure	A6PE6	ORPHAN	
5894	3.0 1.0 1.3 3.0 1.0 0.0 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ènè_ɔ̀bìyɛ̀	ènè ɔ̀bìyɛ̀	e ¹ n e ¹ _ ɔ ¹ b i ¹ j ɛ ¹	orphan	36	e ¹ n e ¹ _ ɔ ¹ b i ¹ j ɛ ¹	ènè_ɔ̀bìyɛ̀	0	7 8 4 7 8 9 7 8 1 7 8 6 7 8	5477	XTBYT_XTBYTBYT	36.E.V 36.6.T 36.N.C 36.E.V 36.6.T 36._._ 36.U.V 36.6.T 36.P.C 36.I.V 36.6.T 36.J.C 36.E.V 36.6.T	orphelin	1149	Yanda_Dom	E6NE6_U6PI6JE6	ORPHAN	
5895	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	àjàbàlé	àjàbàlé	a ¹ dʒ a ¹ b a ¹ l e ⁵	orphan	23	a ¹ dʒ a ¹ b a ¹ l e ⁵	àjàbàlé	0	7 8 1 7 8 1 7 8 5 7 8	5465	XTBYTBYTBYT	23.A.V 23.6.T 23.T.C 23.A.V 23.6.T 23.P.C 23.A.V 23.6.T 23.L.C 23.E.V 23.6.T	orphelin	1149	Najamba	A6TA6PA6LE6	ORPHAN	
5896	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	nínjó-bè	nínjó-bè (pl -bě: gè)	n i ⁵ n dʒ o ⁵ + b e ¹	orphan	15	n i ⁵ n dʒ o ⁵ + b e ¹	nínjó-bè	0	4 7 8 4 1 7 8 9 1 7 8	5460	AXTMBYT_AXT	15.N.C 15.I.V 15.6.T 15.N.c 15.T.C 15.U.V 15.6.T 15._._ 15.P.C 15.E.V 15.6.T	orphelin	1149	Bunoge	NI6NTU6_PE6	ORPHAN	
5897	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6	là:wà-gí-n	là:wà-gí-n,_là:wá-n	l aː ¹ w a ¹ + ɡ i ⁵ + n ( - - )	orphan	20	l aː ¹ w a ¹ + ɡ i ⁵ + n	là:wà-gí-n	0	5 7 8 6 7 8 9 1 7 8 9 4	5459	AXTBYT_AXT_A	20.L.C 20.A.V 20.6.T 20.W.C 20.A.V 20.6.T 20._._ 20.K.C 20.I.V 20.6.T 20._._ 20.N.C	orphelin	1149	Jamsay	LA6WA6_KI6_N	ORPHAN	
5898	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	àbɛ̀:gí-nɛ̀	àbɛ̀:gí-nɛ̀	a ¹ b ɛː ¹ ɡ i ⁵ + n ɛ ¹	orphan	17	a ¹ b ɛː ¹ ɡ i ⁵ + n ɛ ¹	àbɛ̀:gí-nɛ̀	0	7 8 1 7 8 1 7 8 9 4 7 8	5461	XTBYTBYT_AXT	17.A.V 17.6.T 17.P.C 17.E.V 17.6.T 17.K.C 17.I.V 17.6.T 17._._ 17.N.C 17.E.V 17.6.T	orphelin	1149	Donno_So	A6PE6KI6_NE6	ORPHAN	
5899	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.1 1.0	ʔì:ⁿ_tònjú:ⁿ	ʔì:ⁿ tònjú:ⁿ	( ʔ ĩː ∼ ¹ _ ) t o ¹ n ( dʒ ) ũː ( ∼ ) ⁵	orphan	34	ʔ ĩː ∼ ¹ _ t o ¹ n dʒ ũː ∼ ⁵	ʔì:ⁿ_tònjú:ⁿ	0	1 7 4 8 9 1 7 8 4 1 7 4 8	5475	AXLT_AXTMBYLT	34.H.C 34.I.V 34.9.c 34.6.T 34._._ 34.T.C 34.U.V 34.6.T 34.N.c 34.T.C 34.Y.V 34.9.c 34.6.T	orphelin	1149	Tomo_Kan	HI96_TU6NTY96	ORPHAN	
5900	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	àbàbà_wé:	àbàbà wé:	a ¹ b a ¹ b a ¹ w eː ⁵	orphan	22	a ¹ b a ¹ b a ¹ _ w eː ⁵	àbàbà_wé:	0	7 8 1 7 8 1 7 8 9 6 7 8	5465	XTBYTBYT_AXT	22.A.V 22.6.T 22.P.C 22.A.V 22.6.T 22.P.C 22.A.V 22.6.T 22._._ 22.W.C 22.E.V 22.6.T	orphelin	1149	Mombo	A6PA6PA6_WE6	ORPHAN	
5901	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	átí:_mɛ̀	átí:mɛ̀	- - - - - !- a ⁵ t iː ⁵ ( - ) m ɛ ¹	orphan	25	a ⁵ t iː ⁵ _ m ɛ ¹	átí:_mɛ̀	0	7 8 1 7 8 9 4 7 8	5481	XTBYT_AXT	25.A.V 25.6.T 25.T.C 25.I.V 25.6.T 25._._ 25.M.C 25.E.V 25.6.T	orphelin	1149	Penange	A6TI6_ME6	ORPHAN	BAM
5902	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	múyúmɛ̀	múyúmɛ̀/múmɛ̀	- - - - - m u ⁵ j u ⁵ ( - ) m ɛ ¹	orphan	3	m u ⁵ j u ⁵ m ɛ ¹	múyúmɛ̀	0	4 7 8 6 7 8 4 7 8	5481	AXTBYTBYT	3.M.C 3.Y.V 3.6.T 3.J.C 3.Y.V 3.6.T 3.M.C 3.E.V 3.6.T	orphelin	1149	Bangime	MY6JY6ME6	ORPHAN	
5903	2.0 1.5 1.1 1.1 1.75 1.3 0.8 0.0 2.0 1.5 1.3 1.3 1.75 0.8	wunndum-mbaare	wunndummbaare	w u n: d u m + m b a: r e	orphan	18	w u n n d u m + m b a a r e	wunndum-mbaare	0	6 7 4 4 1 7 4 9 4 1 7 7 5 7	5463	AXLMBYN_ACYYBZ	18.W.C 18.Y.V 18.N.c 18.N.c 18.T.C 18.Y.V 18.M.c 18._._ 18.M.C 18.P.C 18.A.V 18.A.V 18.R.C 18.E.V	orphelin	1149	Fulfulde	WYNNTYM_MPAARE	ORPHAN	
5904	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	fárítá	fárítá	f a ⁵ r i ⁵ t a ⁵	orphan	2	f a ⁵ r i ⁵ t a ⁵	fárítá	0	3 7 8 5 7 8 1 7 8	5456	AXTBYTBYT	2.B.C 2.A.V 2.6.T 2.R.C 2.I.V 2.6.T 2.T.C 2.A.V 2.6.T	orphelin	1149	Bambara	BA6RI6TA6	ORPHAN	
5905	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	mìsìkínɛ́	mìsìkínɛ́	m i ¹ s i ¹ k i ⁵ n ɛ ⁵	orphan	2	m i ¹ s i ¹ k i ⁵ n ɛ ⁵	mìsìkínɛ́	0	4 7 8 3 7 8 1 7 8 4 7 8	5479	AXTBYTBYTBYT	2.M.C 2.I.V 2.6.T 2.S.C 2.I.V 2.6.T 2.K.C 2.I.V 2.6.T 2.N.C 2.E.V 2.6.T	orphelin	1149	Bambara	MI6SI6KI6NE6	ORPHAN	
5906	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 3.0 1.3 3.0 1.0	gìigìrê	gìigìrê	ɡ i: ¹ ɡ i ¹ r e ⁵¹	orphan	29	a ¹ l i ¹ j a ¹ t i ⁵ i m e ¹	gìigìrê	0	7 8 5 7 8 6 7 8 1 7 8 7 4 7 8	5471	XTBYTBYTBYTYBYT	29.A.V 29.6.T 29.L.C 29.I.V 29.6.T 29.J.C 29.A.V 29.6.T 29.T.C 29.I.V 29.6.T 29.I.V 29.M.C 29.E.V 29.6.T	orphelin	1149	Soninke	A6LI6JA6TI6IME6	ORPHAN	
5907	1.6 3.0 1.0 3.0 1.3 3.0 1.0 1.3 3.0 1.0	àlìyàtíimè	àlìyàtíimè	a ¹ l i ¹ j a ¹ t i ⁵ ( i ) m e ¹	orphan	29	ɡ i ¹ i ɡ i ¹ r e ⁵¹	àlìyàtíimè	0	1 7 8 7 1 7 8 5 7 8	5481	AXTYBYTBYT	29.K.C 29.I.V 29.6.T 29.I.V 29.K.C 29.I.V 29.6.T 29.R.C 29.E.V 29.3.T	orphelin	1149	Soninke	KI6IKI6RE3	ORPHAN	
5908	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	yàtí:mê	yàtí:mê	- - - - - j a ¹ t iː ⁵ ( - ) m e ⁵¹	[n] orphan	28	j a ¹ t iː ⁵ m e ⁵¹	yàtí:mê	0	6 7 8 1 7 8 4 7 8	5481	AXTBYTBYT	28.J.C 28.A.V 28.6.T 28.T.C 28.I.V 28.6.T 28.M.C 28.E.V 28.3.T	orphelin [variants .àlyàtí:mî	1149	Songhai_Senni	JA6TI6ME3	ORPHAN	BAM
