ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	SEMFIELD_CODE	REFERENCE	OCCURRENCE
2084	2084	it is not __ (inanimate, with expressive adverbial, e.g. kɔ̀:-rɔ́, ŋ̀gó)	ce n'est pas __ (inanimé, avec adverbe)	not be, it is not	179.0.6.0.3.0	9708.0	16
2085	2085	(mediopassive/middle suffix, with minor variants parenthesized)	(suffixe médiopassif, autres variantes en parenthèse)	mediopassive	179.0.7.0.3.0	9664.0	16
2086	2086	have ever VPed (experiential perfect suffix or aux)	venir de (faire), avoir juste fini de (faire) (parfait récent)	have ever, experiential perfect	179.0.8.0.8.0	9674.0	16
2087	2087	have never VPed (experiential perfect negative)	ne jamais avoir (fait) (parfait negatif d'expérience)	have never	179.0.9.0.2.0	9675.0	16
2088	2088	(prohibitive Sg suffix)	(suffixe prohibitif)	prohibitive	179.0.10.0.3.0	9690.0	16
2089	2089	(stative negative suffix or clitic)	(suffixe ou clitique du statif négatif)	stative	179.0.11.0.2.0	9696.0	16
2090	2090	fresh (green) grass	herbe fraîche (verte)	grass	2.0.4.0.2.0	63.0	15
2091	2091	harness, hitch up (donkey or ox, to cart)	atteler, harnacher (âne ou bœuf porteur, à la charrette)	harness, hitch up	3.0.3.0.1.0	104.0	15
2092	2092	strap (for slapping horse)	cravache (à frapper le cheval)	strap	4.0.4.0.2.0	112.0	15
2093	2093	blinders (for horse)	œillère (de cheval)	blinders	4.0.7.0.1.0	119.0	15
2094	2094	raise (livestock in a herd)	élever (bétail en troupeau)	raise, bring up	7.0.2.0.3.0	186.0	15
2095	2095	young	jeune	young	7.0.3.0.1.0	191.0	15
2096	2096	worn out, old, no longer useful (object)	(objet) vétuste, usé, qui n'est plus utile	worn out, old	7.0.6.0.4.0	202.0	15
2097	2097	(plant) bear fruit or grain	(plante) pousser un fruit ou des graines	bear	8.0.1.0.9.0	212.0	15
2098	2098	pregnant (woman)	(femme) enceinte	pregnant	8.0.5.0.4.0	223.0	15
2099	2099	abdomen	abdomen	abdomen	10.0.5.0.8.0	342.0	15
2100	2100	colon, big intestine	gros intestin, côlon	intestine	10.0.7.0.12.0	370.0	15
2101	2101	wrist	poignet	wrist	10.0.10.0.6.0	392.0	15
2102	2102	arm	bras	arm	10.0.11.0.2.0	400.0	15
2103	2103	thumb	pouce; grand orteil	finger	10.0.13.0.2.0	423.0	15
2104	2104	lower lip	lèvre inférieure	lip	10.0.18.0.3.0	479.0	15
2105	2105	sore throat	mal à la gorge	throat	10.0.23.0.1.0	527.0	15
2106	2106	blinking (noun)	clin d'œil (substantif)	blinking	11.0.5.0.2.0	584.0	15
2107	2107	fill up one's mouth (with food or drink)	se remplir la bouche (avec nourriture ou boisson)	fill mouth	11.0.9.0.3.0	609.0	15
2108	2108	tiptoe, walk on tiptoes	marcher sur la pointe des pieds, marcher à pas de loup	tiptoe	12.0.5.0.2.0	718.0	15
2109	2109	(sb) hold oneself up against (wall) with one's hand	(qn) se soutenir avec la main contre (mur)	hold self up	12.0.6.0.3.0	721.0	15
2110	2110	wattle, fleshy throat fold of a bird, e.g. a chicken	caroncule, excroissance charnue sous la gorge d'un oiseau, par ex. d'un poulet	wattle	13.0.6.0.3.0	777.0	15
2111	2111	foundation, base (of sth)	fondement, soubassement, base (de qch)	foundation, base	14.0.1.0.1.0	823.0	15
2112	2112	side, end (e.g. of a blanket)	côté, bout (par ex., d'une couverture)	end	14.0.2.0.2.0	827.0	15
2113	2113	fit handle on (blade, e.g. ax or hoe)	emmancher, mettre le manche sur (une lame, par ex. de hache ou de daba)	fit handle	14.0.4.0.6.0	854.0	15
2114	2114	flexible branch of certain lianas (Saba, Leptadenia), used as a cord for tying up bundles	branche souple de certaines lianes (zaban, Leptadenia), utilisée comme corde pour attacher les fagots	branch	15.0.6.0.5.0	899.0	15
2115	2115	hard pedicel connecting doum-palm frond to trunk (for fan handles, or pounded and used to tie bundles)	pédicelle dure qui relie la feuille de doum au tronc (utilisée comme manche d'éventail, ou battu et utilisée pour attacher les fagots)	pedicel	15.0.7.0.11.0	910.0	15
2116	2116	thorn branches (for fencing)	branches épineuses (pour les clôtures)	thorn branch	15.0.8.0.2.0	923.0	15
2117	2117	broken pieces of millet spike (after pounding)	épi décortiqué brisé de mil (après ê. pilé)	grain spike (pieces)	15.0.9.0.14.0	937.0	15
2118	2118	pit (of wild date)	noyau (de datte sauvage)	pit (fruit)	15.0.10.0.13.0	953.0	15
2119	2119	cluster (of fruits, e.g. wild grape, mango)	grappe (de fruits, par ex. de raisin sauvage, de mangues)	cluster	15.0.15.0.2.0	979.0	15
2120	2120	baobab fruit	fruit de baobab	baobab fruit	15.0.15.0.17.0	994.0	15
2121	2121	take off (one's hat)	enlever (son chapeau)	take off	16.0.16.0.4.0	1159.0	15
2122	2122	man's pullover hat (fits contour of head)	chapeau d'homme en tissu (suit la forme de la tête)	hat	16.0.16.0.15.0	1170.0	15
2123	2123	(woman) put on (shawl)	(femme) mettre (foulard)	put on, wear	16.0.18.0.2.0	1198.0	15
2124	2124	let (pants) back down (after pulling them up)	laisser redescendre le bout de (pantalon), après l'avoir soulevé	let down	16.0.23.0.2.0	1228.0	15
2125	2125	have (sb) sew (sth)	faire coudre (qch, à qn)	sew	16.0.24.0.2.0	1233.0	15
2126	2126	(fabric, garment) fray, unravel	(tissu, vêtement) s'effilocher	fray, unravel	16.0.24.0.4.0	1235.0	15
2127	2127	reed (firm comb, held down by a heavy rod underneath) in a weaver's loom with which the weaver pulls each length of thin thread (woof) onto the finished fabric	peigne ferme avec laquelle le tisserand tire chaque fil mince contre le tissu	reed, comb	17.0.10.0.2.0	1283.0	15
2128	2128	adorn (sb, sth), make (sb) look good	parer (qn, qch), embellir (qch)	beautify	18.0.1.0.6.0	1295.0	15
2129	2129	tuft (ball of hair, in certain women's hairstyles)	touffe (de cheveux, dans certaines coiffures de femme)	tuft	19.0.8.0.1.0	1337.0	15
2130	2130	coffee	café	coffee	22.0.7.0.1.0	1493.0	15
2131	2131	(milk) be pure, full-strength, undiluted	(lait) ê. pur, non dilué	full-strength, undiluted, pure	23.0.7.0.2.0	1521.0	15
2132	2132	gnaw at (bits of meat remaining on bones)	ronger (restes de viande sur un os)	gnaw	25.0.2.0.2.0	1552.0	15
2133	2133	(grasshopper) bite off and eat (millet grains)	(criquet) mordre et manger (graines de mil)	gnaw	25.0.2.0.6.0	1556.0	15
2134	2134	(bird) peck off a little bit of (a fruit)	(oiseau) enlever un peu de (fruit) en picorant	nibble	25.0.2.0.7.0	1557.0	15
2135	2135	collect (remainder of sauce in pot) by sweeping with hand	enlever (ce qui reste de la sauce dans la marmite) en raclant avec la main	collect	25.0.5.0.6.0	1571.0	15
2136	2136	(bird) eat (sth, by pecking)	(oiseau) manger (qch, en becquetant)	peck	25.0.15.0.2.0	1604.0	15
2137	2137	pre-dawn meal on fasting day	repas avant l'aube avant de jeuner	meal	26.0.2.0.7.0	1616.0	15
2138	2138	stock up on, reserve (foods)	réserver (aliments)	stock, hoard, reserves	26.0.5.0.2.0	1639.0	15
2139	2139	crush or grind into fine powder (flour)	écraser ou piler en poudre (farine) fine	fine, powder	26.0.10.0.8.0	1669.0	15
2140	2140	mushy, watery, hard to pick up in the hand (e.g. cooked rice, millet cake)	(riz cuit, tô, etc.) boueux, aqueux, en bouillie, difficile à prendre dans la main	mushy, watery	26.0.11.0.1.0	1674.0	15
2141	2141	okra sauce	sauce gombo	sauce	26.0.15.0.5.0	1697.0	15
2142	2142	peanut sauce (of Bambara)	sauce à l'arachide (des bambara)	sauce	26.0.15.0.6.0	1698.0	15
2143	2143	chewing gum	chewing-gum	gum	26.0.16.0.1.0	1706.0	15
2144	2144	hard candy with whistle attached	bonbon dur à sifflet	candy	26.0.16.0.8.0	1713.0	15
2145	2145	hunter's camouflaged hunting shelter	abri camouflé de chasseur	shelter	27.0.4.0.1.0	1728.0	15
2146	2146	track, follow (tracks of animal)	suivre (traces d'animal)	follow tracks	27.0.5.0.3.0	1731.0	15
2147	2147	drop-trap consisting of two stones leaning against each other that fall on small mammals	piège en forme de deux pierres appuyées l'une sur l'autre, qui tombent sur les petits mammifères	drop-trap	27.0.6.0.2.0	1735.0	15
2148	2148	drain off (liquid, from cream of millet) by hand	enlever (liquide, de la crème de mil) en filtrant à la main	filter, drain	28.0.4.0.5.0	1783.0	15
2149	2149	(e.g. tin can) become crumpled	(boîte de conserve etc.) devenir froissé	crumple	30.0.3.0.3.0	1832.0	15
2150	2150	pound (grain, in mortar, into flour)	piler (céréales, dans un mortier, en farine)	pound	30.0.7.0.5.0	1848.0	15
2151	2151	dough made by pounding millet grain in mortar with water, for cream of millet	pâte constituée en pilant le mil dans un mortier avec de l'eau, pour la crème de mil	pound	30.0.9.0.6.0	1860.0	15
2152	2152	cooked, done (meat)	(viande) cuit	cooked, done	31.0.1.0.21.0	1886.0	15
2153	2153	cook (sauce)	cuire (sauce)	cook, sauce	32.0.3.0.2.0	1923.0	15
2154	2154	cook (groundnuts with ashes) in a pot	cuire (pois de terre avec de la cendre) dans une marmite	cook with ashes	32.0.5.0.2.0	1933.0	15
2155	2155	wave (torch) to drive out bees from hive	agiter (flambeau) afin de chasser les abeilles de la ruche	wave (torch)	35.0.1.0.7.0	2018.0	15
2156	2156	steam	vapeur	steam	35.0.11.0.2.0	2051.0	15
2157	2157	early millet, early-ripening cultivar of millet with thin spikes and small grains (eaten promptly by Jamsay, stored on roof by others)	variété de mil à épi mince et à petites graines qui mûrit avant la grande récolte (consommée immédiatement par les jamsay, stocké par d'autres groupes)	millet	36.0.2.1.12.0	2079.0	15
2158	2158	onion bulb	bulbe d'oignon	onion	36.0.6.0.7.0	2141.0	15
2159	2159	onion leaf (for sauce)	feuille d'oignon (pour la sauce)	onion	36.0.6.0.8.0	2142.0	15
2160	2160	garlic	aïl	onion	36.0.6.0.10.0	2144.0	15
2161	2161	clear a (new) field with an axe (removing shrubs etc.)	défricher un (nouveau) champ avec une hache (enlevant des arbustes etc.)	clear with axe	37.0.11.0.1.0	2218.0	15
2162	2162	act of clearing (land) with an ax	fait de défricher (terrain) avec la hache	clear with axe	37.0.11.0.2.0	2219.0	15
2163	2163	harvest (millet) after the main harvest (verb only)	récolter (mil) après la récolte principale (verbe seulement)	harvest (secondary)	37.0.22.0.17.0	2326.0	15
2164	2164	large pile of just-harvested crop (millet, roselle, sesame, fonio)	gros tas de céréales etc. récoltées (mil, dah, sésame, fonio)	pile (large)	37.0.26.0.1.0	2338.0	15
2165	2165	small bundle of millet grain spikes (often as a small gift e.g. for a name-giving ceremony, usually tied with two cords)	petit fagot d'épis de mil (souvent donné comme cadeau, par ex. dans un baptême, généralement attaché avec deux cordes)	bundle (millet)	37.0.29.0.2.0	2350.0	15
2166	2166	vegetable garden	jardin à légumes, jardin potager	garden	37.0.30.0.1.0	2355.0	15
2167	2167	self-standing bowl-shaped earthenware waterjar with wide, thick-rimmed opening	canari à eau en terre cuite en forme d'écuelle à large bouche	bowl, jar	39.0.3.0.1.0	2406.0	15
2168	2168	chicken's drinking pan (e.g. concave pottery shard)	abreuvoir de poulet (morceau concave de canari, etc.)	pan	39.0.4.0.2.0	2415.0	15
2169	2169	modern traveling bag, duffle-bag	sacoche de voyage moderne	bag	43.0.1.0.4.0	2471.0	15
2170	2170	sack (cloth or burlap)	sac (en tissu ou en toile)	sack	43.0.2.0.2.0	2475.0	15
2171	2171	large box, chest	grosse caisse	chest	45.0.3.0.1.0	2520.0	15
2172	2172	add (flour) to the food cooking in a pot (verb only)	ajouter (farine) à la nourriture dans la marmite pendant la cuisson (verbe seulement)	add	46.0.3.0.6.0	2544.0	15
2173	2173	water (a plant or tree) by pouring from a container	arroser (plante, arbre) en versant l'eau d'un récipient	water, sprinkle	47.0.2.0.11.0	2568.0	15
2174	2174	small residue of liquid that collects at the bottom of a container after a liquid is poured out 	petit résidu de liquide qui reste au fond d'un récipient après qu'on a versé le liquide	residue	47.0.3.0.1.0	2569.0	15
2175	2175	(shea-butter, butter, animal fat) become solid ("sleep")	(beurre de karité, beurre de vache, graisse d'animal) devenir solide (« dormir »)	freeze	47.0.8.0.2.0	2593.0	15
2176	2176	staff (stick) with one forked end (for gripping, for old men)	bâton à un bout fourchu (afin de bien saisir, pour un vieillard)	stick, staff	49.0.4.0.5.0	2669.0	15
2177	2177	protrusion (knot) in tree used as a foothold	protubérance (nœud) dans le tronc d'un arbre qu'on prend avec le pied pour grimper	knot (tree), protrusion	49.0.7.0.1.0	2679.0	15
2178	2178	stump (of a cut-down millet stem)	souche (d'une tige de mil coupée)	stump	49.0.8.0.4.0	2684.0	15
2179	2179	two posts between which a rope stretches to tie one or more young animals (e.g. calves)	deux bois entre lesquels une corde s'étend pour attacher un ou plusieurs jeunes animaux (veaux etc.)	hitching post	49.0.10.0.2.0	2689.0	15
2180	2180	tobacco leaf	feuille de tabac	tobacco leaf	51.0.1.0.2.0	2711.0	15
2181	2181	pulley (for well)	poulie (de puits)	pulley	53.0.2.0.2.0	2740.0	15
2182	2182	pillar, post (in house)	pilier (de maison)	pillar	54.0.6.0.3.0	2799.0	15
2183	2183	niche, recess in interior wall (for storage or lamp)	niche dans un mur intérieur (pour les bagages ou pour une lampe)	niche, recess	54.0.24.0.3.0	2890.0	15
2184	2184	area at edge of village for defecating	lieu au bord du village pour déféquer	toilet	54.0.26.0.4.0	2903.0	15
2185	2185	table, selling stand	table	table	54.0.27.0.1.0	2905.0	15
2186	2186	mat woven from millet or sorghum stems	natte tissée en tiges de mil ou de sorgho	mat	56.0.2.0.6.0	2944.0	15
2187	2187	prayer mat	natte (de prière)	mat	56.0.3.0.1.0	2947.0	15
2188	2188	straw hanging mat, sekko (hung e.g. in doorways)	natte à suspendre en sekko (paille)	matting, sekko	56.0.4.0.1.0	2950.0	15
2189	2189	highway, wide road	route, chemin large	highway	57.0.5.0.4.0	2972.0	15
2190	2190	mountain, tall inselberg	montagne, grand inselberg	mountain, inselberg	57.0.6.0.2.0	2974.0	15
2191	2191	open bare land with some gravel	terrain vide ouvert avec du gravier	land (gravely)	57.0.11.0.6.0	3006.0	15
2192	2192	mediocre farmland that needs manure to permit farming	champ à sol médiocre qui exige du fumier pour qu'on le cultive	land (infertile)	57.0.11.0.10.0	3010.0	15
2193	2193	breeze	brise	breeze	60.0.6.0.6.0	3123.0	15
2194	2194	(wind) come up	(vent) se lever	wind (air)	60.0.6.0.7.0	3124.0	15
2195	2195	lay (e.g. stick) across and on top of sth, or between two forked sticks	poser (bâton etc.) à travers et sur qch, ou entre deux bois fourchus	put across	61.0.8.0.10.0	3189.0	15
2196	2196	on the inside, inside (adverb)	à l'intérieur, dedans	inside	63.0.1.0.2.0	3210.0	15
2197	2197	fork (in road)	fourche (dans un chemin)	intersection	63.0.1.0.7.0	3215.0	15
2198	2198	outside (noun)	dehors, extérieur (substantif)	outside	63.0.4.0.2.0	3237.0	15
2199	2199	at (sb's) place, at the home of, chez	chez (qn)	place, at	63.0.5.0.3.0	3241.0	15
2200	2200	put (shoes) on the wrong feet (left shoe on right foot, etc.)	mettre (chaussures) sur le mauvais pied (la chaussure gauche sur le pied droit, etc.)	backwards	63.0.7.0.8.0	3256.0	15
2201	2201	become __ (with expressive adverbial, e.g. bě:-)	devenir __ (avec adverbe)	become (adverbial)	64.0.1.0.2.0	9709.0	15
2202	2202	move (to a new dwelling), relocate	déménager	move, relocate	64.0.2.0.8.0	3270.0	15
2203	2203	(sb or sth) be (somewhere)	être, se trouver (quelque part)	be (somewhere)	64.0.6.0.4.0	3287.0	15
2204	2204	far away (adverb)	loin (adverbe)	far	65.0.1.0.4.0	3319.0	15
2205	2205	come near, approach (here)	venir à proximité, s'approcher (d'ici)	approach, near	65.0.2.0.1.0	3322.0	15
2206	2206	span, length measure (elbow to wrist or finger)	empan, mesure de longueur (du coude au poignet ou aux doigts)	span	65.0.3.0.5.0	3337.0	15
2207	2207	hand-span	mesure de longueur (du bout du pouce au bout du médius)	span	65.0.3.0.6.0	3338.0	15
2208	2208	area, zone	zone, région	area, zone	66.0.1.0.5.0	3347.0	15
2209	2209	(position) in front (locative adverb)	(position) en tête, par devant (adverbe locatif)	front	66.0.3.0.1.0	3357.0	15
2210	2210	on, on top of	sur	on	66.0.5.0.5.0	3371.0	15
2211	2211	on the head of (sb)	sur la tête de (qn)	on	66.0.5.0.6.0	3372.0	15
2212	2212	below me, under me	sous moi, au-dessous de moi	under	66.0.6.0.2.0	3376.0	15
2213	2213	make (a space) cramped, narrowly confined	rendre resserré ou coincé (espace)	cramped, confined	67.0.4.0.3.0	3407.0	15
2214	2214	become massive, stout	devenir massif	massive, stout	69.0.2.0.2.0	3468.0	15
2215	2215	length (of object or space, in its longest dimension)	longueur (la dimension la plus longue d'un objet ou d'un espace)	length	69.0.6.0.6.0	3505.0	15
2216	2216	shorten (sth)	raccourcir (qch)	shorten	69.0.8.0.3.0	3522.0	15
2217	2217	midgit, dwarf, pygmy	nain, pygmée	midgit, dwarf, pygmy	69.0.8.0.8.0	3527.0	15
2218	2218	width (measure of 2- or 3-dimensional object in its second greatest dimension)	largeur (mesure de la deuxième dimension d'un objet en 2 ou 3 dimensions)	width	69.0.10.0.1.0	3542.0	15
2219	2219	make (sb, sth) fat	rendre corpulent (qn, qch)	fat	69.0.11.0.3.0	3546.0	15
2220	2220	(animal) be in good condition, be good-sized	(animal) ê. en bon état, de bonne taille	good condition	69.0.11.0.17.0	3560.0	15
2221	2221	cavity (in decayed teeth, old tree, rock)	cavité, creux (dans les dents avec la carie, les vieux arbres, les pierres)	cavity	70.0.1.0.11.0	3591.0	15
2222	2222	be punctured, have a hole	ê. troué, avoir un trou	puncture, hole	70.0.3.0.3.0	3601.0	15
2223	2223	shallow hole cut in tree (as a foothold)	trou peu profond coupé dans un tronc d'arbre (où on met son pied en grimpant)	tree hole	70.0.4.0.3.0	3612.0	15
2224	2224	last month	mois passé	last	71.0.4.0.4.0	3630.0	15
2225	2225	since morning	depuis le matin	since	71.0.5.0.1.0	3632.0	15
2226	2226	say again, repeat (word)	dire encore une fois, répéter (mot)	repeat	71.0.7.0.5.0	3648.0	15
2227	2227	at first, initially, first (adverb)	d'abord, en première position, pour commencer (adverbe)	first	71.0.12.0.1.0	3662.0	15
2228	2228	coincide with, run into (encounter) by chance	coïncider avec, rencontrer par hasard	coincide	71.0.14.0.1.0	3667.0	15
2229	2229	(day) break (verb only)	(jour) poindre (verbe seulement)	day break	73.0.3.0.2.0	3712.0	15
2230	2230	daybreak, first light, early morning just before dawn	point du jour juste avant l'aube	daybreak, first light	73.0.3.0.3.0	3713.0	15
2231	2231	spend the mid-day	passer le milieu de la journée	spend day	73.0.8.0.3.0	3744.0	15
2232	2232	set a date or deadline	fixer une date ou un délai	deadline	77.0.3.0.1.0	3813.0	15
2233	2233	put a stop to (e.g. a fight)	mettre fin à (bagarre, etc.)	stop	77.0.5.0.1.0	3827.0	15
2234	2234	my grandfather	mon grand père	grandfather	78.0.6.0.1.5	8484.0	15
2235	2235	my grandmother	ma grand-mère	grandmother	78.0.6.0.4.0	3863.0	15
2236	2236	friend (casual)	ami (de la rue)	friend	79.0.2.0.4.0	3985.0	15
2237	2237	comrade, colleague	camarade, collègue	comrade, colleague	79.0.2.0.7.0	3988.0	15
2238	2238	hold a meeting	tenir une réunion	meeting	80.0.3.0.6.0	4015.0	15
2239	2239	act of entrusting (sth, to sb)	fait de confier (qch, à qn)	entrust	80.0.5.0.8.0	4033.0	15
2240	2240	(individuals) do sth together	(individus) faire qch ensemble	do together	80.0.7.0.1.0	4037.0	15
2241	2241	Bobo (ethnicity)	bobo (ethnie)	bobo	81.0.15.0.1.0	4095.0	15
2242	2242	spoil (a child)	gâter (un enfant)	spoil	84.0.2.0.6.0	4143.0	15
2243	2243	command, be the chief	commander, ê. le chef	command, rule	86.0.7.0.3.0	4236.0	15
2244	2244	gendarme (rural policeman)	gendarme (policier rural)	gendarme	86.0.9.0.1.0	4242.0	15
2245	2245	(Muslim) pray (verb only)	(musulman) prier (verbe seulement)	pray	87.0.2.0.2.0	4250.0	15
2246	2246	one who prays, practicing Muslim	celui qui prie, musulman pratiquant	pray	87.0.2.0.4.0	4252.0	15
2247	2247	courtyard or open space where mendicant Koranic pupils with wooden tablets recite the Koran under the supervision of a holy man	cour ou autre espace où les élèves coraniques mendiants munis d'ardoises récitent le Coran sous l'œil du marabou	koranic school	87.0.8.0.2.0	4299.0	15
2248	2248	medicant koranic-school pupil (esp. young)	élève mendiant d'école coranique (surtout jeune)	pupil	87.0.8.0.5.0	4302.0	15
2249	2249	night of the 27th day of Ramadan (when angels pass by)	nuit du 27 de Ramadan (où des anges passent par la terre)	holy day	87.0.11.0.7.0	4321.0	15
2250	2250	area where the community prays together at the beginning of major Muslim holy days	endroit où la communauté prie ensemble au début des fêtes musulmanes	prayer place	87.0.11.0.10.0	4324.0	15
2251	2251	the Envoy (=the Prophet Muhammad)	l'Envoyé (=le Prophète Mohamed)	envoy, prophet	87.0.12.0.2.0	4328.0	15
2252	2252	imam's respondent (often also the muezzin)	répondeur de l'imam (souvent aussi le muezzin)	muezzin	87.0.12.0.6.0	4332.0	15
2253	2253	demon, pagan devil opposed to God	démon, diable païen qui s'oppose à Dieu	devil	87.0.13.0.2.0	4339.0	15
2254	2254	divine reward	récompense divine	reward	87.0.15.0.1.0	4351.0	15
2255	2255	magician, one who does magic tricks	magicien, illusionniste	magic	88.0.1.0.4.0	4359.0	15
2256	2256	cast spells, practice sorcery	jeter des sorts, pratiquer la sorcellerie	cast spell, sorcery	88.0.2.0.1.0	4365.0	15
2257	2257	(fortune-teller) toss cowries	(devin) jeter des cauris	cowry, toss	88.0.4.0.1.0	4385.0	15
2258	2258	(sb) avoid (sth taboo)	(qn) éviter (un tabou)	taboo	89.0.3.0.2.0	4417.0	15
2259	2259	(woman) marry a man, take a husband	(femme) épouser un homme, prendre un mari	marry	91.0.1.0.6.0	4448.0	15
2260	2260	(bride) move permanently to husband's home	(mariée) déménager définitivement à la maison du mari	transfer, move	91.0.8.0.5.0	4478.0	15
2261	2261	calabash tomtom worn around neck or held on ground between legs (beaten with hands)	tam-tam de calebasse, porté autour du cou ou tenu au sol entre les jambes (battu avec les mains)	tomtom	93.0.2.0.3.0	4540.0	15
2262	2262	put a pinch of gunpowder in (rifle)	mettre une pincée de poudre dans (fusil)	pinch, gunpowder	95.0.13.0.2.0	4698.0	15
2263	2263	stock (wooden part) of a rifle	fût et crosse (partie en bois) d'un fusil	stock	95.0.15.0.1.0	4706.0	15
2264	2264	cock of musket (which sends flint onto powder)	chien de mousquet (qui fait frapper la poudre par le silex)	cock	95.0.16.0.1.0	4716.0	15
2265	2265	gunpowder chamber, bend in metal under the latch where gunpowder is inserted	chambre, partie tordue sous le loquet où on introduit la poudre	chamber	95.0.17.0.1.0	4722.0	15
2266	2266	set (cock of rifle, by pulling it back)	relever (le chien du fusil, en le tirant)	set cock	95.0.21.0.2.0	4735.0	15
2267	2267	(rifle) fire, discharge, go off	(fusil) éclater	fire, discharge	95.0.21.0.7.0	4740.0	15
2268	2268	betray (verb only)	trahir (verbe seulement)	betray	96.0.5.0.3.0	4773.0	15
2269	2269	(sb) be in the right (in a dispute or legal case)	(qn) avoir raison (dans une dispute ou un affaire de droit)	right	97.0.4.0.1.0	4793.0	15
2270	2270	I am not well (i.e. I am sick)	je ne me sens pas bien (c'est-à-dire, je suis malade)	sick	98.0.1.0.5.0	4823.0	15
2271	2271	re-open (old cut or wound)	reblesser, rouvrir (ancienne plaie ou blessure)	wound	98.0.4.0.8.0	4842.0	15
2272	2272	dislocation (of shoulder etc.)	luxation (de l'épaule etc.)	dislocation	98.0.5.0.1.0	4849.0	15
2273	2273	meningitis (especially painful to the neck)	méningite (fait mal surtout au cou)	meningitis	98.0.13.0.2.0	4875.0	15
2274	2274	head cold	rhume de tête	head cold	98.0.14.0.2.0	4897.0	15
2275	2275	jaundice (yellow coloring of skin and whites of eyes, due to hepatitis)	jaunisse (coloration jaune de la peau et des blancs des yeux, due à l'hépatite)	jaundice, hepatitis	98.0.21.0.5.0	4930.0	15
2276	2276	contaminate, infect	contaminer, infecter	contaminate, infect	98.0.22.0.3.0	4948.0	15
2277	2277	it (=illness) is getting better	il y a du mieux (après une maladie)	recover	98.0.25.0.3.0	4967.0	15
2278	2278	(healer) collect (sb's blood, with an animal horn)	(guérisseur) faire sortie le sang de (qn, avec une ventouse de corne)	bleed, bloodletting	98.0.29.0.3.0	4984.0	15
2279	2279	give an enema (purgative liquid) to (sb) via the rectum, cleanse the intestines of (sb)	donner un lavement (liquide purgatif) à (qn, par l'anus), purger l'intestin de (qn)	purgative, purge	98.0.30.0.1.0	4988.0	15
2280	2280	owner of house, head of household	propriétaire de maison	owner	101.0.2.0.2.0	5071.0	15
2281	2281	Dogon language	langue dogon	dogon language	102.0.3.0.1.0	5113.0	15
2282	2282	promise (noun), vow (noun)	promesse	promise, vow	102.0.10.0.6.0	5154.0	15
2283	2283	sacred place where oaths are taken	endroit sacré où on prend serment	oath	102.0.10.0.7.0	5155.0	15
2284	2284	let know, inform (sb, of sth)	renseigner, faire savoir (qch, à qn)	inform	102.0.16.0.4.0	5199.0	15
2285	2285	compare (two things)	comparer (deux choses)	comparison	102.0.17.0.7.0	5214.0	15
2286	2286	thanks (noun), act of thanking (for a service)	remerciement, fait de remercier (pour un service)	thanks	102.0.19.0.1.0	5224.0	15
2287	2287	thank (sb)	remercier (qn)	thank	102.0.19.0.4.0	5227.0	15
2288	2288	poke fun, mock (verb only)	se moquer de (verbe seulement)	mock, fun	102.0.21.0.2.0	5236.0	15
2289	2289	say (sth false) (verb only)	dire (du faux) (verbe seulement)	false 	103.0.5.0.2.0	5274.0	15
2290	2290	liar, teller of falsehoods	menteur, celui qui dit du faux	liar	103.0.5.0.5.0	5277.0	15
2291	2291	narrator's opening for a story (once upon a time)	début d'un conte	story opening	106.0.1.0.1.0	5311.0	15
2292	2292	(reply to narrator's opening phrase)	(réponse au raconteur qui commence un conte)	response	106.0.1.0.2.0	5312.0	15
2293	2293	give formal counsel (about serious matters) (verb plus noun)	donner des conseils (sur des problèmes sérieuses) (verbe plus substantif)	counsel	107.0.1.0.1.0	5335.0	15
2294	2294	criticise, speak critically of (sb)	critiquer, saboter, faire la critique de (qc)	criticise	107.0.2.0.3.0	5342.0	15
2295	2295	jokester, funny person	farceur, blagueur, drôle	jokester, funny	108.0.1.0.5.0	5360.0	15
2296	2296	seventy	soixtante-dix	70.0	109.0.3.0.7.0	5393.0	15
2297	2297	ninety	quatre-vingt-dix	90.0	109.0.3.0.11.0	5397.0	15
2298	2298	do a calculation	faire un calcul	calculation	109.0.7.0.1.0	5406.0	15
2299	2299	how many-th? (ordinal)	quantième?	how many-th?	110.0.5.0.1.0	5428.0	15
2300	2300	much (e.g. sugar)	(sucre, etc.) beaucoup	much, many, a lot	111.0.1.0.1.0	5429.0	15
2301	2301	for nothing, in vain, uselessly, for free	pour rien, en vain, gratuitement	nothing, free, in vain	111.0.4.0.3.0	5445.0	15
2302	2302	each	chaque	each	111.0.7.0.10.0	5465.0	15
2303	2303	each person	chaque personne	each	111.0.7.0.11.0	5466.0	15
2304	2304	exactly, specifically (adverb)	exactement, spécifiquement (adverbe)	exactly	111.0.9.0.2.0	5475.0	15
2305	2305	it isn't enough (imperfective form)	ça ne suffit pas (forme de l'inaccompli)	enough	111.0.20.0.3.0	5532.0	15
2306	2306	pile (of sand)	tas (de sable)	heap, pile	112.0.5.0.5.0	5550.0	15
2307	2307	herd of cattle	troupeau de bovins	herd, flock	112.0.6.0.2.0	5554.0	15
2308	2308	doing business, buying and selling, commerce	commerce, fait d'acheter et de vendre	business, commerce	113.0.2.0.2.0	5567.0	15
