ID	CONCEPT_IN_SOURCE	IPA	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CONCEPT	BORROWINGS	TOKENS
3493	goat	ɛ̀nɛ́	chèvre	1502	Tommo_So	GOAT		ɛ ¹ n ɛ ⁵
3494	goat	gɛ́:	chèvre	1502	Tomo_Kan	GOAT		ɡ ɛː ⁵
3495	goat	ɛ̀rⁿá	chèvre	1502	Toro_Tegu	GOAT		ɛ ¹ r̃ ∼ a ⁵
3496	goat	ʔə́nɛ́	chèvre	1502	Yanda_Dom	GOAT		ʔ ə ⁵ n ɛ ⁵
3497	goat	ɛ̀rⁿɛ́	chèvre	1502	Yorno_So	GOAT		ɛ ¹ r̃ ∼ ɛ ⁵
3498	goat	ɛ̀r̃ɛ́	chèvre	1503	Toro_So	GOAT		ɛ ¹ r ∼ ɛ ⁵
3499	God	ŋàrà	Dieu	1944	Bangime	GOD	Bozo_Pondori_sud	ŋ a ¹ r a ¹
3500	God, Allah	zɛ́zɛ̂	Dieu, Allah	1944	Bankan_Tey	GOD		z ɛ ⁵ z ɛ ¹⁵
3501	God, Allah	jǐŋjɛ̀	Dieu, Allah	1944	Ben_Tey	GOD		dʒ i ¹⁵ ŋ dʒ ɛ ¹
3502	God	ŋálá	Dieu	1944	Bozo_Pondori_sud	GOD		ŋ a ⁵ l a ⁵
3503	God, Allah	ʔàmànàŋgà	Dieu, Allah	1944	Bunoge	GOD		ʔ a ¹ m a ¹ n a ¹ ŋ ɡ a ¹
3504	God, Allah	ámbà	Dieu, Allah	1944	Dogul_Dom	GOD		a ⁵ m b a ¹
3505	God, Allah	àmbá	Dieu, Allah	1944	Donno_So	GOD		a ¹ m b a ⁵
3506	God	geno	Dieu	1944	Fulfulde	GOD		ɡ e n o
3507	God, Allah	ámà	Dieu, Allah	1944	Jamsay	GOD		a ⁵ m a ¹
3508	God	ālà	Dieu	1944	Jenaama	GOD	Ar	a ³ l a ¹
3509	God, Allah	ámánà	Dieu, Allah	1944	Mombo	GOD		a ⁵ m a ⁵ n a ¹
3510	God, Allah	jěnjà	Dieu, Allah	1944	Najamba	GOD		dʒ e ¹⁵ n dʒ a ¹
3511	God, Allah	dɛ̌njɛ̂	Dieu, Allah	1944	Nanga	GOD		d ɛ ¹⁵ n dʒ ɛ ¹⁵
3512	God, Allah	àmànà	Dieu, Allah	1944	Penange	GOD		a ¹ m a ¹ n a ¹
3513	God, Allah	ámà	Dieu, Allah	1944	Perge_Tegu	GOD		a ⁵ m a ¹
3514	[n] God	yórkòy	Dieu	1944	Songhai_Senni	GOD		j o ⁵ r k o ¹ j
3515	God, Allah	ámbá	Dieu, Allah	1944	Toro_So	GOD		a ⁵ m b a ⁵
3516	God, Allah	ámbá	Dieu, Allah	1944	Tebul_Ure	GOD		a ⁵ m b a ⁵
3517	God, Allah	á:	Dieu, Allah	1944	Tiranige_Diga	GOD		aː ⁵
3518	God, Allah	àmá	Dieu, Allah	1944	Togo_Kan	GOD		a ¹ m a ⁵
3519	God, Allah	ámbá	Dieu, Allah	1944	Tommo_So	GOD		a ⁵ m b a ⁵
3520	God, Allah	dìsìná:	Dieu, Allah	1944	Toro_Tegu	GOD		d i ¹ s i ¹ n aː ⁵
3521	God, Allah	àmbà	Dieu, Allah	1944	Yanda_Dom	GOD		a ¹ m b a ¹
3522	God, Allah	ámà	Dieu, Allah	1944	Yorno_So	GOD		a ⁵ m a ¹
3523	God, Allah	sánúⁿ	or	1369	Bambara	GOLD		s a ⁵ n ũ ∼ ⁵
3524	gold	kàŋŋɛ̀	or	1369	Bangime	GOLD	FUL	k a ¹ ŋ ŋ ɛ ¹
3525	gold	káɲɲè	or	1369	Bankan_Tey	GOLD	FUL	k a ⁵ ɲ ɲ e ¹
3526	gold	káŋŋɛ̀	or	1369	Ben_Tey	GOLD	FUL	k a ⁵ ŋ ŋ ɛ ¹
3527	gold	kánù	or	1369	Bunoge	GOLD	FUL	k a ⁵ n u ¹
3528	gold	káŋŋèŋ	or	1369	Donno_So	GOLD	FUL	k a ⁵ ŋ ŋ e ¹ ŋ
3529	gold	kaŋŋe	or	1369	Fulfulde	GOLD		k a ŋ ŋ e
3530	gold	káŋŋɛ̀	or	1369	Jamsay	GOLD	FUL	k a ⁵ ŋ ŋ ɛ ¹
3531	gold	kānū	or	1369	Jenaama	GOLD	FUL	k a ³ n u ³
3532	gold	káŋŋè	or	1369	Najamba	GOLD	FUL	k a ⁵ ŋ ŋ e ¹
3533	gold	káŋɛ̂	or	1369	Nanga	GOLD	FUL	k a ⁵ ŋ ɛ ¹⁵
3534	gold	kán	or	1369	Penange	GOLD	FUL	k a ⁵ n
3535	gold	káŋɛ̀	or	1369	Perge_Tegu	GOLD	FUL	k a ⁵ ŋ ɛ ¹
3536		ʔùrâw	or	1369	Songhai_Kiini	GOLD		ʔ u ¹ r a ⁵¹ w
3537	gold	wúrà:	or	1369	Songhai_Senni	GOLD		w u ⁵ r aː ¹
3538	gold	káŋŋè	or	1369	Soninke	GOLD	FUL	k a ⁵ ŋ ŋ e ¹
3539	gold	káɲà	or	1369	Tebul_Ure	GOLD	FUL	k a ⁵ ɲ a ¹
3540	gold	kàŋŋɛ́	or	1369	Tiranige_Diga	GOLD	FUL	k a ¹ ŋ ŋ ɛ ⁵
3541	gold	káŋɛ́:	or	1369	Togo_Kan	GOLD	FUL	k a ⁵ ŋ ɛː ⁵
3542	gold	káŋé	or	1369	Tommo_So	GOLD	FUL	k a ⁵ ŋ e ⁵
3543		sáárúⁿ	or	1369	Toro_So	GOLD	BAM	s aː ⁵ r ũ ∼ ⁵
3544	gold	káŋá	or	1369	Yorno_So	GOLD	FUL	k a ⁵ ŋ a ⁵
3545	good	dìyè	bon	1035	Ampari	GOOD		d i ¹ j e ¹
3546	good	dúmáⁿ	bon, agréable	1035	Bambara	GOOD		d u ⁵ m ã ∼ ⁵
3547	good	ɡáwⁿ	bon	1035	Bangime	GOOD		ɡ a ⁵ w̃ ∼
3548	good	ɛ̀sú-m	bon	1035	Bankan_Tey	GOOD		ɛ ¹ s u ⁵ + m
3549	good	moⁿyoⁿ	bon	1035	Bozo_Debo	GOOD		m o ∼ j o ∼
3550	good	mɛⁿɛⁿ	bon	1035	Bozo_Hainyaxo	GOOD		m ɛ̃ ∼ ɛ̃ ∼
3551	good	maiⁿ	bon	1035	Bozo_Korondougou_nord	GOOD		m a ĩ
3552	good	moⁿŋoⁿ	bon	1035	Bozo_Korondougou_nord	GOOD		m o ∼ ŋ o ∼
3553	good	maiⁿ	bon	1035	Bozo_Korondougou_sud	GOOD		m a ĩ
3554	good	moⁿyoⁿ	bon	1035	Bozo_Korondougou_sud	GOOD		m o ∼ j o ∼
3555	good	maiⁿ	bon	1035	Bozo_Kotya	GOOD		m a ĩ
3556	good	maiⁿ	bon	1035	Bozo_Pondori_nord	GOOD		m a ĩ
3557	good	maiⁿ	bon	1035	Bozo_Pondori_sud	GOOD		m a ĩ
3558	good	maⁿiⁿ	bon	1035	Bozo_Tiema_Cewe	GOOD		m ã ∼ ĩ
3559	good	maiⁿ	bon	1035	Bozo_Tieyaxo	GOOD		m a ĩ
3560	good	pɔ̀:lɔ̀	bon	1035	Bunoge	GOOD		p ɔː ¹ l ɔ ¹
3561	good	gɛ̀nɔ̌:	bon	1035	Dogul_Dom	GOOD		ɡ ɛ ¹ n ɔː ¹⁵
3562	good	sê:ⁿ	bon	1035	Donno_So	GOOD		s eː ⁵¹ ∼
3563	good	moʄʄi-nde	bon	1035	Fulfulde	GOOD		m o ʄ ʄ i + n d e
3564	good	ɛ̀jú	bon	1035	Jamsay	GOOD		ɛ ¹ dʒ u ⁵
3565	good	pɔ́lɔ́	bon	1035	Mombo	GOOD		p ɔ ⁵ l ɔ ⁵
3566	good	nálá:	bon	1035	Najamba	GOOD		n a ⁵ l aː ⁵
3567	good	ɛ̀sí	bon	1035	Nanga	GOOD		ɛ ¹ s i ⁵
3568	good	pɔ́:lɔ́	bon	1035	Penange	GOOD		p ɔː l ɔ ⁵
3569	good	ɛ̀sú	bon	1035	Perge_Tegu	GOOD		ɛ ¹ s u ⁵
3570	[adj] good; pretty	hènnò	bon; beau, belle [less common than its cognate in KS, cf. bór-yá].	1035	Songhai_Senni	GOOD		h e ¹ n n o ¹
3571	[adj]  good; pretty // 	bòryòw	bon; joli [Abs 	1035	Songhai_Kiini	GOOD		b o ¹ r j o ¹ w
3572	[adj] good; pretty	sírè	gentil, bon	1035	Soninke	GOOD		s i ⁵ r e ¹
3573	good	sɛ́	bon	1035	Tebul_Ure	GOOD		s ɛ ⁵
3574	good	mɔ́:	bon	1035	Tiranige_Diga	GOOD		m ɔː
3575	good	sɛ́ⁿ	bon	1035	Togo_Kan	GOOD		s ɛ ∼ ⁵
3576	good	síɛ́	bon	1035	Tommo_So	GOOD		s i ⁵ ɛ ⁵
3577	good	jɛ̀rⁿú	bon	1035	Toro_Tegu	GOOD		dʒ ɛ ¹ r̃ ∼ u ⁵
3578	good	síyɛ́	bon	1035	Yanda_Dom	GOOD		s i ⁵ j ɛ ⁵
3579	good	ɛ̀jú	bon	1035	Yorno_So	GOOD		ɛ ¹ dʒ u ⁵
3580	good	ɛ̀jú	bon	1036	Toro_So	GOOD		ɛ ¹ dʒ u ⁵
3581	grandfather	mɔ̀kɛ́	grand-père	1383	Bambara	GRANDFATHER		m ɔ ¹ k ɛ ⁵
3582	grandfather	tèndè	grand-père	1383	Bangime	GRANDFATHER		t e ¹ n d e ¹
3583	grandfather	pǎ:m	grand-père	1383	Bankan_Tey	GRANDFATHER		p aː ¹⁵ m
3584	grandfather	pǎ:	grand-père	1383	Ben_Tey	GRANDFATHER		p aː ¹⁵
3585	grandfather	tòrì	grand-père	1383	Bunoge	GRANDFATHER		t o ¹ r i ¹
3586	grandfather	bà:bá:	grand-père	1383	Dogul_Dom	GRANDFATHER		b aː ¹ b aː ⁵
3587	grandfather	bà:bâ:	grand-père	1383	Donno_So	GRANDFATHER		b aː ¹ b aː ⁵¹
3588	grandfather	maama	grand-père	1383	Fulfulde	GRANDFATHER		m a a m a
3589	grandfather	tìrɛ̀_ǎn	grand-père	1383	Jamsay	GRANDFATHER		t i ¹ r ɛ ¹ _ a ¹⁵ n
3590	grandfather	tìgè_kɛ́ɛ́gū	grand-père	1383	Jenaama	GRANDFATHER		t i ¹ ɡ e ¹ _ k ɛː ⁵ ɡ u ³
3591	grandfather	bábá	grand-père	1383	Mombo	GRANDFATHER		b a ⁵ b a ⁵
3592	grandfather	pàwá	grand-père	1383	Nanga	GRANDFATHER		p a ¹ w a ⁵
3593	grandfather	tòrì	grand-père	1383	Penange	GRANDFATHER		t o ¹ r i ¹
3594	grandfather	tírɛ́_án	grand-père	1383	Perge_Tegu	GRANDFATHER		t i ⁵ r ɛ ⁵ _ a ⁵ n
3595	[n inal] grandmother, grandfather	kà:gè	grand-mère	1383	Songhai_Senni	GRANDFATHER		k aː ¹ ɡ e ¹
3596	grandfather	kìsìmê	grand-père	1383	Soninke	GRANDFATHER		k i ¹ s i ¹ m e ⁵¹
3597	grandfather	pàpá	grand-père	1383	Tebul_Ure	GRANDFATHER		p a ¹ p a ⁵
3598	grandfather	mbɔ̀:	grand-père	1383	Tiranige_Diga	GRANDFATHER		m b ɔː ¹
3599	grandfather	bàbá:	grand-père	1383	Togo_Kan	GRANDFATHER		b a ¹ b aː ⁵
3600	grandfather	tìrɛ̀_àn-ná	grand-père	1383	Tommo_So	GRANDFATHER		t i ¹ r ɛ ¹ _ a ¹ n + n a ⁵
3601	grandfather	bàbá	grand-père	1383	Toro_Tegu	GRANDFATHER		b a ¹ b a ⁵
3602	grandfather	bàbà	grand-père	1383	Yanda_Dom	GRANDFATHER		b a ¹ b a ¹
3603	grandfather	tìrɛ̀	grand-père	1383	Yorno_So	GRANDFATHER		t i ¹ r ɛ ¹
3604	grass, herbs	bḭ́	herbe	606	Bambara	GRASS		b i ∼ ⁵
3605	grass, herbaceous plants	ɡūʤɛ̀	herbe	606	Bangime	GRASS	Bunoge	ɡ u ³ dʒ ɛ ¹
3606	grass, herbs	bèrú	herbe	606	Bankan_Tey	GRASS		b e ¹ r u ⁵
3607	grass, herbs	sugu	herbe	606	Bozo_Hainyaxo	GRASS		s u ɡ u
3608	grass, herbs	sogṵ	herbe	606	Bozo_Korondougou_nord	GRASS		s o ɡ u ∼
3609	grass, herbs	sogu	herbe	606	Bozo_Korondougou_sud	GRASS		s o ɡ u
3610	grass, herbs	so	herbe	606	Bozo_Pondori_nord	GRASS		s o
3611	grass, herbs	kɔ́jì	herbe	606	Bunoge	GRASS		k ɔ ⁵ dʒ i ¹
3612	grass, herbs	kɔ̌:g	herbe	606	Dogul_Dom	GRASS		k ɔː ¹⁵ ɡ
3613	grass, herbs	bèlé	herbe	606	Donno_So	GRASS		b e ¹ l e ⁵
3614	grass, herbs	huɗo	herbe	606	Fulfulde	GRASS		h u ɗ o
3615	grass, herbs	ɔ̀yɔ́	herbe	606	Jamsay	GRASS		ɔ ¹ j ɔ ⁵
3616	grass, herbaceous plants	sɔ̀gù	herbe	606	Jenaama	GRASS		s ɔ ¹ ɡ u ¹
3617	grass, herbs	béléŋgè	herbe	606	Mombo	GRASS		b e ⁵ l e ⁵ ŋ ɡ e ¹
3618	grass, herbs	sɔ̌:mɛ̀ŋgò	herbe	606	Najamba	GRASS		s ɔː ¹⁵ m ɛ ¹ ŋ ɡ o ¹
3619	grass, herbs	bèrí	herbe	606	Nanga	GRASS		b e ¹ r i ⁵
3620	grass, herbs	kɔ́jí	herbe	606	Penange	GRASS		k ɔ ⁵ dʒ i ⁵
3621	grass, herbs	ɔ̀yɔ́	herbe	606	Perge_Tegu	GRASS		ɔ ¹ j ɔ ⁵
3622	a) [n] herb (non-woody plant), grass	sùbò	plante herbacée (non ligneuse), (l’)herbe [general term] -cpds beginning sùb-ù-, cf. also fè:j-èy sùb-íy-à:	606	Songhai_Senni	GRASS		s u ¹ b o ¹
3623	grass, herbs	yɔ̀wá	herbe	606	Tebul_Ure	GRASS		j ɔ ¹ w a ⁵
3624	grass, herbs	bél-ŋge	herbe	606	Tiranige_Diga	GRASS		b e ⁵ l + ŋ ɡ e
3625	grass, herbs	gú_gúrú	herbe	606	Togo_Kan	GRASS		ɡ u ⁵ _ ɡ u ⁵ r u ⁵
3626	grass, herbs	kèrú	herbe	606	Tommo_So	GRASS		k e ¹ r u ⁵
3627	grass, herbs	gwìní	herbe	606	Tomo_Kan	GRASS		ɡ w i ¹ n i ⁵
3628	grass, herbs	sɔ̀lɔ́	herbe	606	Toro_Tegu	GRASS		s ɔ ¹ l ɔ ⁵
3629	grass, herbs	ɔ̀à	herbe	606	Yanda_Dom	GRASS		ɔ ¹ a ¹
3630	grass, herbs	dɔ̀gɔ́	herbe	606	Yorno_So	GRASS		d ɔ ¹ ɡ ɔ ⁵
3631	grass, herbaceous plants	bèrú	herbe	607	Toro_So	GRASS		b e ¹ r u ⁵
3632	[n] colon, large intestine	nùgùbá	gros intestin	1334	Bambara	GUTS		n u ¹ ɡ u ¹ b a ⁵
3633	stomach; rumen (of livestock animal)	kūrū-bɛ̄_bōɡò	estomac; gros estomac (de ruminant)	1334	Bangime	GUTS		k u ³ r u ³ + b ɛ ³ _ b o ³ ɡ o ¹
3634	entrails, guts	pìrè_kɔ́rɔ̀	entrailles	1334	Bankan_Tey	GUTS		p i ¹ r e ¹ _ k ɔ ⁵ r ɔ ¹
3635	entrails, guts	pìrè_kɔ́rɔ̀	entrailles	1334	Ben_Tey	GUTS		p i ¹ r e ¹ _ k ɔ ⁵ r ɔ ¹
3636	entrails, guts	huseeru	entrailles	1334	Fulfulde	GUTS		h u s e e r u
3637	entrails, guts	bɛ̀rɛ̀_nì:ɲé	entrailles	1334	Jamsay	GUTS		b ɛ ¹ r ɛ ¹ _ n iː ¹ ɲ e ⁵
3638	entrails, guts	nólè	entrailles	1334	Mombo	GUTS		n o ⁵ l e ¹
3639	entrails, guts	bìndú	entrailles	1334	Najamba	GUTS		b i ¹ n d u ⁵
3640	entrails, guts	bìndî	entrailles	1334	Nanga	GUTS		b i ¹ n d i ⁵¹
3641	entrails, guts	bɛ̀rɛ̀_kɔ́rɔ̀	entrailles	1335	Perge_Tegu	GUTS		b ɛ ¹ r ɛ ¹ _ k ɔ ⁵ r ɔ ¹
3642	[n] colon, large intestine	kòrò_wáŋgà:	gros intestin	1334	Songhai_Senni	GUTS		k o ¹ r o ¹ _ w a ⁵ ŋ ɡ aː ¹
3643	[n] colon, large intestine	táyli	intestin	1334	Songhai_Kiini	GUTS		t a ⁵ j l i
3644	[n] colon, large intestine	nùxùl_lémmè	intestin	1334	Soninke	GUTS		n u ¹ u ¹ l _ l e ⁵ m m e ¹
3645	entrails, guts	bìndú	entrailles	1334	Tommo_So	GUTS		b i ¹ n d u ⁵
3646	entrails, guts	pídím	entrailles	1334	Yanda_Dom	GUTS		p i ⁵ d i ⁵ m
3647	entrails, guts	bìnɛ́	entrailles	1334	Yorno_So	GUTS		b i ¹ n ɛ ⁵
3648	hair	kùrɛ̀	cheveux	1040	Ampari	HAIR		k u ¹ r ɛ ¹
3649	hair	kwìì	cheveux	1040	Bangime	HAIR		k w iː ¹
3650	hair	kùyá	cheveux	1040	Bankan_Tey	HAIR		k u ¹ j a ⁵
3651	hair	kù_kùyɔ́	cheveux	1040	Ben_Tey	HAIR		k u ¹ _ k u ¹ j ɔ ⁵
3652	[n] colon, large intestine	kùⁿ_sígí	cheveu	1040	Bozo_Hainyaxo	HAIR		k ũ ∼ ¹ _ s i ⁵ ɡ i ⁵
3653	[n] (single) hair	yìntê	cheveu, poil, plume	1040	Bozo_Hainyaxo	HAIR		j i ¹ n t e ⁵¹
3654	hair	kùⁿ	cheveux	1040	Bozo_Hainyaxo	HAIR		k ũ ∼ ¹
3655	hair	kùlɛ̀	cheveux	1040	Bunoge	HAIR		k u ¹ l ɛ ¹
3656	hair	kìŋ_gìlé	cheveux	1040	Dogul_Dom	HAIR		k i ¹ ŋ _ ɡ i ¹ l e ⁵
3657	hair	kèŋ_gèlé	cheveux	1040	Donno_So	HAIR		k e ¹ ŋ _ ɡ e ¹ l e ⁵
3658	hair	suku-ndu	cheveux	1040	Fulfulde	HAIR		s u k u + n d u
3659	hair	kúrɔ́	cheveux	1040	Jamsay	HAIR		k u ⁵ r ɔ ⁵
3660	hair	tī	cheveux	1040	Jenaama	HAIR		t i ³
3661	hair	kúlɛ́	cheveux	1040	Mombo	HAIR		k u ⁵ l ɛ ⁵
3662	hair	kùlɛ́ŋgó	cheveux	1040	Najamba	HAIR		k u ¹ l ɛ ⁵ ŋ ɡ o ⁵
3663	hair	kìyá	cheveux	1040	Nanga	HAIR		k i ¹ j a ⁵
3664	hair	kúlɛ́	cheveux	1040	Penange	HAIR		k u ⁵ l ɛ ⁵
3665	hair	kúrɔ́	cheveux	1040	Perge_Tegu	HAIR		k u ⁵ r ɔ ⁵
3666	[n] (single) hair	hámbúrú_gúrò	cheveu (individuel) [normally in NF form with following numeral or other quantifier] [gúr-ó 1].	1040	Songhai_Senni	HAIR		h a ⁵ m b u ⁵ r u ⁵ _ ɡ u ⁵ r o ¹
3667	[n] hair(s); feather(s) // 	hámbírí	cheveu(x); plume(s)	1040	Songhai_Kiini	HAIR		h a ⁵ m b i ⁵ r i ⁵
3668	hair	kùŋ_gùlà-íyɛ́	cheveux	1040	Tebul_Ure	HAIR		k u ¹ ŋ _ ɡ u ¹ l a ¹ + i ⁵ j ɛ ⁵
3669	hair	kùlɛ̀	cheveux	1040	Tiranige_Diga	HAIR		k u ¹ l ɛ ¹
3670	hair	kúrɔ́	cheveux	1040	Togo_Kan	HAIR		k u ⁵ r ɔ ⁵
3671	hair	kúló	cheveux	1040	Tommo_So	HAIR		k u ⁵ l o ⁵
3672	hair	kùlɛ́	cheveux	1040	Tomo_Kan	HAIR		k u ¹ l ɛ ⁵
3673	hair	kúrɔ́	cheveux	1040	Toro_Tegu	HAIR		k u ⁵ r ɔ ⁵
3674	hair	kùlà	cheveux	1040	Yanda_Dom	HAIR		k u ¹ l a ¹
3675	hair	kù-kûl	cheveux	1040	Yorno_So	HAIR		k u ¹ + k u ⁵¹ l
3676	hair	kùú_kúrú	cheveux	1041	Toro_So	HAIR		k u ¹ u ⁵ _ k u ⁵ r u ⁵
3677	hand	nùmá	main	1277	Ampari	HAND		n u ¹ m a ⁵
3678	hand	nìì	main	1277	Bangime	HAND		n iː ¹
3679	hand	nǎ:	main	1277	Bankan_Tey	HAND		n aː ¹⁵
3680	hand	nǎ:	main	1277	Ben_Tey	HAND		n aː ¹⁵
3681	hand	tabaⁿ_kɛⁿdɛ	main	1277	Bozo_Korondougou_sud	HAND		t a b ã ∼ _ k ɛ̃ ∼ d ɛ
3682	hand	cugu_tebo	main	1277	Bozo_Kotya	HAND		tʃ u ɡ u _ t e b o
3683	hand	númɛ̀	main	1277	Bunoge	HAND		n u ⁵ m ɛ ¹
3684	hand	jun-ngo	main	1277	Fulfulde	HAND		dʒ u n + n ɡ o
3685	hand	nùmɔ́	main	1277	Jamsay	HAND		n u ¹ m ɔ ⁵
3686	hand	sūgū	main	1277	Jenaama	HAND		s u ³ ɡ u ³
3687	hand	nùmǎ:	main	1277	Najamba	HAND		n u ¹ m aː ¹⁵
3688	hand	nǎ:	main	1277	Nanga	HAND		n aː ¹⁵
3689	hand	nwɛ̀:	main	1277	Penange	HAND		n w ɛː ¹
3690	hand	nùwⁿó	main	1277	Perge_Tegu	HAND		n u ¹ w̃ ∼ o ⁵
3691	[n] hand, arm	kàmbè	main, bras	1277	Songhai_Senni	HAND		k a ¹ m b e ¹
3692	[n] hand, arm	kàmbè	main, bras	1277	Songhai_Kiini	HAND		k a ¹ m b e ¹
3693	hand	nùmǎ:	main	1277	Tebul_Ure	HAND		n u ¹ m aː ¹⁵
3694	hand	númá	main	1277	Tiranige_Diga	HAND		n u ⁵ m a ⁵
3695	hand	nùmɔ́	main	1277	Tommo_So	HAND		n u ¹ m ɔ ⁵
3696	hand	nùmà_tàgà	main	1277	Tomo_Kan	HAND		n u ¹ m a ¹ _ t a ¹ ɡ a ¹
3697	hand	lɔ̀tɔ́	main	1277	Toro_Tegu	HAND		l ɔ ¹ t ɔ ⁵
3698	hand	nùmà	main	1277	Yanda_Dom	HAND		n u ¹ m a ¹
3699	hand	nɔ̌yⁿ	main	1277	Yorno_So	HAND		n ɔ ¹⁵ j ∼
3700	hang up, hook	yūn-dà	accrocher, suspendre	357	Bangime	HANG UP		j u ³ n + d a ¹
3701	hang (sth) up on a hook or nail	kɔ́lí	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Bankan_Tey	HANG UP		k ɔ ⁵ l i ⁵
3702	hang (sth) up on a hook or nail	kɔ́lí	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Ben_Tey	HANG UP		k ɔ ⁵ l i ⁵
3703	hang (sth) up on a hook or nail	jáŋgè	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Bunoge	HANG UP		dʒ a ⁵ ŋ ɡ e ¹
3704	hang (sth) up on a hook or nail	gɔ̀n-dù-rɛ́	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Dogul_Dom	HANG UP		ɡ ɔ ¹ n + d u ¹ + r ɛ ⁵
3705	hang (sth) up on a hook or nail	gɔ̀n-dɔ̀-rɔ́	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Donno_So	HANG UP		ɡ ɔ ¹ n + d ɔ ¹ + r ɔ ⁵
3706	hang up, hook	sinndu-de	accrocher, suspendre	357	Fulfulde	HANG UP		s i n n d u + d e
3707	hang up, hook	takku-de	accrocher, suspendre	358	Fulfulde	HANG UP		t a k k u + d e
3708	hang (sth) up on a hook or nail	kólló	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Gourou	HANG UP		k o ⁵ l l o ⁵
3709	hang (sth) up on a hook or nail	kɔ́rɔ́	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Jamsay	HANG UP		k ɔ ⁵ r ɔ ⁵
3710	hang (sth) up on a hook or nail	gɔ́d-dɛ̀	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Mombo	HANG UP		ɡ ɔ ⁵ d + d ɛ ¹
3711	hang (sth) up on a hook or nail	gùbɛ́	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Najamba	HANG UP		ɡ u ¹ b ɛ ⁵
3712	hang (sth) up on a hook or nail	kɔ́rí	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Nanga	HANG UP		k ɔ ⁵ r i ⁵
3713	hang (sth) up on a hook or nail	gɔ́r-dɛ̀	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Penange	HANG UP		ɡ ɔ ⁵ r + d ɛ ¹
3714	hang (sth) up on a hook or nail	kɔ́lɔ́	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Perge_Tegu	HANG UP		k ɔ ⁵ l ɔ ⁵
3715	[tr] hang up //	dèy	suspendre, accrocher [< *dè:jì]	357	Songhai_Kiini	HANG UP		d e ¹ j
3716	[tr] hang (sth) up, attach (sth) to wall	tákkê	afficher, coller (qqch) au mur [<Ful vtakk-].	357	Songhai_Senni	HANG UP		t a ⁵ k k e ⁵¹
3717	hang (sth) up on a hook or nail	gùbú	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Tebul_Ure	HANG UP		ɡ u ¹ b u ⁵
3718	hang (sth) up on a hook or nail	gúwɔ́	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Tiranige_Diga	HANG UP		ɡ u ⁵ w ɔ ⁵
3719	hang (sth) up on a hook or nail	jèré	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Togo_Kan	HANG UP		dʒ e ¹ r e ⁵
3720	hang (sth) up on a hook or nail	jèlé	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Tommo_So	HANG UP		dʒ e ¹ l e ⁵
3721	hang (sth) up on a hook or nail	gùtú	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Toro_Tegu	HANG UP		ɡ u ¹ t u ⁵
3722	hang (sth) up on a hook or nail	kɔ́r-dɔ́	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Yanda_Dom	HANG UP		k ɔ ⁵ r + d ɔ ⁵
3723	hang (sth) up on a hook or nail	jèlé	suspendre (qch) en l'accrochant sur un hameçon ou une pointe	357	Yorno_So	HANG UP		dʒ e ¹ l e ⁵
3724	head	kò:	tête	1256	Ampari	HEAD		k oː ¹
3725	head	kùⁿ	tête	1256	Bambara	HEAD		k ũ ∼ ¹
3726	head	dēɡè	tête	1256	Bangime	HEAD		d e ³ ɡ e ¹
3727	head	kû:	tête	1256	Bankan_Tey	HEAD		k uː ⁵¹
3728	head	kû:	tête	1256	Ben_Tey	HEAD		k uː ⁵¹
3729	head	ɲɛⁿŋ	tête	1256	Bozo_Debo	HEAD		ɲ ɛ̃ ∼ ŋ
3730	head	sahuⁿ	tête	1256	Bozo_Hainyaxo	HEAD		s a h ũ ∼
3731	head	ɲɛⁿoⁿ	tête	1256	Bozo_Korondougou_nord	HEAD		ɲ ɛ̃ ∼ o ∼
3732	head	ɲiⁿoⁿ	tête	1256	Bozo_Korondougou_sud	HEAD		ɲ ĩ o ∼
3733	head	niiⁿ	tête	1256	Bozo_Kotya	HEAD		n i ĩ
3734	head	ɲɛ	tête	1256	Bozo_Pondori_nord	HEAD		ɲ ɛ
3735	head	ɲoⁿ_kwoⁿ	tête	1256	Bozo_Pondori_sud	HEAD		ɲ o ∼ _ k w o ∼
3736	head	toⁿmo	tête	1256	Bozo_Tiema_Cewe	HEAD		t o ∼ m o
